employee_id,employee_name,salary,position,department,hire_date,bonus,overtime_hours,tax_rate,net_pay
79,Remus Lanchberry,123919.85,Senior Developer,Legal,9/18/2014,4732.18,9.58,0.2969,20428.31
80,Anjela Lonergan,148593.35,Assistant Professor,Services,1/12/2020,3561.5,8.98,0.4606,54364.78
81,Gamaliel Southern,94115.95,Payment Adjustment Coordinator,Product Management,3/7/2020,4425.83,11.5,0.324,16160.05
82,Dorolisa Tuminelli,119923.64,Actuary,Training,10/8/2010,4368.64,12.37,0.286,131915.34
83,Keefer Eglin,120770.8,Accountant I,Product Management,9/25/2021,3185.69,15.54,0.2175,31214.26
84,Maryanne Bortoloni,50248.51,Librarian,Training,7/12/2015,1434.2,17.15,0.0063,109906.81
85,Reyna Coldrick,102721.46,Assistant Manager,Training,11/3/2013,4047.72,17.99,0.286,115225.26
86,Whitney Driver,147085.67,Analyst Programmer,Services,7/2/2012,2862.82,2.68,0.3358,82647.48
87,Birgit Jewell,146219.86,VP Product Management,Support,7/20/2015,4300.06,7.07,0.1091,83721.01
88,Bobinette Keepin,105689.68,Safety Technician IV,Training,4/8/2006,1656.08,16.17,0.3523,100155.58
89,Natala Enston,116904.97,Programmer IV,Marketing,2/20/2000,1307.08,0.71,0.4404,130814.16
90,Lucais Sargison,72806.7,VP Marketing,Accounting,6/27/2003,3831.85,12.84,0.3531,114304.93
91,Obadiah Gaskal,147336.97,VP Marketing,Marketing,6/7/2005,1062.56,13.07,0.2106,37203.12
92,Candie Lamberts,116065.64,GIS Technical Architect,Support,5/13/2012,3372.62,15.72,0.4749,119825.0
93,Renard Cuphus,88669.16,Speech Pathologist,Product Management,7/15/2021,2420.75,0.71,0.1213,80398.4
94,Cordy Grocutt,98940.51,Sales Representative,Legal,8/24/2020,4455.76,12.12,0.2058,103262.19
95,Dene Heningam,41006.82,Account Representative IV,Product Management,7/23/2022,2416.37,16.04,0.1727,35415.71
96,Davie Usherwood,117468.18,Developer I,Services,12/16/2007,4178.6,13.08,0.2008,29416.65
97,Vilma Simione,146305.68,Payment Adjustment Coordinator,Human Resources,7/25/2010,1750.95,6.71,0.1087,130736.42
98,Ermentrude Hamnett,68956.88,Administrative Officer,Legal,12/25/2006,753.18,1.43,0.0327,89593.54
99,Ossie Stealy,48337.95,Marketing Assistant,Support,4/29/2013,4.81,4.99,0.1726,101309.86
100,Marianne Eadmeads,134703.26,Payment Adjustment Coordinator,Services,6/24/2020,3692.14,5.47,0.0014,16253.04
101,Findley Dmitrichenko,83324.4,Chemical Engineer,Marketing,3/4/2004,611.92,8.11,0.2842,61188.84
102,Jane Medforth,68810.36,Desktop Support Technician,Training,4/10/2011,4306.41,18.52,0.4261,40110.96
103,Luigi Newborn,140765.08,Financial Analyst,Services,11/24/2003,352.35,6.82,0.4761,28844.78
104,Bethanne Vasechkin,42846.1,Director of Sales,Product Management,6/7/2007,2540.01,8.73,0.1622,51111.1
105,Gipsy Sparshutt,80318.86,VP Product Management,Research and Development,7/24/2007,1798.84,12.32,0.3884,100121.96
106,Roze Veitch,33554.68,Nurse,Accounting,9/5/2015,1028.83,17.32,0.4593,36354.2
107,Nat Carletti,122223.57,GIS Technical Architect,Legal,9/11/2004,4834.55,10.2,0.2751,94619.5
108,Natale Heinig,87137.73,Budget/Accounting Analyst I,Accounting,7/23/2016,4973.77,6.07,0.2368,120838.15
109,Stinky Edwicker,23349.22,Legal Assistant,Product Management,8/30/2006,1288.72,18.84,0.0551,105886.41
110,Miguela Leigh,72233.82,Staff Accountant III,Research and Development,5/8/2000,630.17,11.13,0.303,55833.04
111,Quill McKinna,31412.86,Tax Accountant,Support,12/11/2003,2015.27,7.2,0.0765,81584.09
112,Ulrikaumeko Tonsley,25356.66,Project Manager,Engineering,1/4/2004,1582.99,14.47,0.4745,34739.76
113,Lila Coull,45554.22,Geologist IV,Product Management,3/10/2014,2498.0,4.42,0.4604,123187.37
114,Herculie Shama,131256.86,Financial Analyst,Services,8/14/2001,4345.22,3.95,0.3844,137354.95
115,Coletta Thinn,136427.02,Mechanical Systems Engineer,Legal,1/4/2019,2138.43,3.17,0.3747,36718.18
116,Arnaldo Pickrell,51364.98,Recruiter,Research and Development,1/2/2003,4259.68,4.88,0.4318,87558.83
117,Leonard Mergue,34579.52,VP Accounting,Legal,9/5/2010,3485.38,16.9,0.1779,86658.96
118,Heindrick Harrild,27110.65,Physical Therapy Assistant,Research and Development,7/25/2022,402.02,9.57,0.3731,49737.51
119,Yovonnda Stockill,60612.88,Electrical Engineer,Training,3/21/2021,35.09,16.87,0.4863,122461.23
120,Galven Blois,73380.8,Financial Advisor,Product Management,8/19/2019,52.48,0.49,0.2954,102975.31
121,Elinor Killeen,143359.85,Staff Scientist,Legal,8/22/2019,3246.28,1.68,0.234,70727.46
122,Genovera Perell,107284.19,Accounting Assistant I,Training,8/28/2012,2722.54,9.43,0.4726,115808.57
123,Martyn Monkhouse,148123.16,Health Coach I,Marketing,7/31/2004,1941.39,8.99,0.2894,130153.13
124,Charity Reisenberg,55192.78,Design Engineer,Sales,5/29/2004,2054.88,2.73,0.1654,135945.65
125,Eamon Sobtka,99290.47,Actuary,Research and Development,1/3/2006,56.41,11.67,0.0746,82936.3
126,Emiline Pryell,41536.21,Analog Circuit Design manager,Marketing,12/19/2014,1788.76,19.35,0.4364,80335.26
127,Isis Pillinger,123521.72,Software Test Engineer I,Sales,1/23/2003,1899.52,10.59,0.0513,101816.41
128,Ed McKinney,21708.89,Software Test Engineer IV,Business Development,1/19/2000,2308.53,4.99,0.4795,18330.97
129,Bridget Dowse,44276.27,Database Administrator III,Accounting,9/6/2018,2525.63,19.2,0.1453,20678.56
130,Melony Alesin,71731.68,Assistant Media Planner,Marketing,4/6/2008,3386.47,4.28,0.4194,106557.98
131,Leslie Mines,77369.97,Environmental Tech,Human Resources,10/7/2007,1398.43,10.07,0.4577,72699.61
132,Ludwig July,53286.92,Developer II,Accounting,1/9/2001,4648.25,0.56,0.4107,34575.69
133,Elfrieda Drackford,138879.16,Teacher,Marketing,1/11/2020,4473.19,16.3,0.4526,102278.58
134,Jaimie Dahlback,85826.44,Information Systems Manager,Sales,8/22/2009,1466.52,13.81,0.0729,71544.99
135,Leigh Hartle,73267.37,Account Representative IV,Human Resources,5/21/2010,2355.47,2.99,0.3519,53880.29
136,Jandy Signorelli,138565.34,Professor,Business Development,1/11/2007,3582.45,16.97,0.2012,94166.07
137,Glyn Lydiate,58308.21,Food Chemist,Training,8/11/2015,4034.14,10.55,0.1916,101684.98
138,Quinn Eagar,82029.7,Senior Financial Analyst,Engineering,8/2/2013,4954.91,4.92,0.2971,62652.8
139,Knox Kefford,82078.09,Physical Therapy Assistant,Training,8/26/2014,4231.6,16.29,0.3181,30232.69
140,Cari Syplus,92068.14,Structural Analysis Engineer,Human Resources,8/6/2009,511.41,14.96,0.1806,35527.04
141,Addia Phillcock,33954.25,Health Coach III,Support,1/2/2014,492.78,7.52,0.2557,20336.97
142,Mort Tudball,32197.99,Biostatistician I,Product Management,12/2/2008,2269.8,3.26,0.1776,88711.45
143,Ira Alejo,126341.59,Database Administrator III,Marketing,10/13/2006,1529.58,14.49,0.4058,67071.88
144,Kristian Keirl,93575.03,Business Systems Development Analyst,Services,12/17/2017,1036.81,16.97,0.3869,82701.93
145,Early Ingilson,25965.64,Technical Writer,Accounting,9/4/2004,3527.29,1.15,0.0031,39834.7
146,Winny Scimonelli,128830.77,Community Outreach Specialist,Services,5/13/2009,4532.14,12.72,0.0022,24428.84
147,Laurianne Keets,90986.85,Administrative Officer,Product Management,9/27/2011,939.58,19.52,0.1733,97666.87
148,Catlee Breffit,145757.1,Legal Assistant,Accounting,9/13/2014,1660.13,0.6,0.2053,104967.53
149,Keenan Bartol,25332.78,Director of Sales,Legal,4/1/2002,4750.02,13.16,0.4446,82462.26
150,Corry Stanier,40456.67,Editor,Support,11/19/2022,2146.4,18.58,0.3228,108984.37
151,Paco Tynan,23377.74,Clinical Specialist,Engineering,10/23/2012,3783.75,14.42,0.0952,74389.65
152,Gusti Degoey,25632.03,Programmer III,Human Resources,1/8/2012,789.66,7.32,0.4767,18653.37
153,Sharleen Maloney,32527.4,Safety Technician II,Training,2/29/2020,594.55,0.22,0.4674,42454.59
154,Bernardo Ainsley,135796.75,VP Marketing,Product Management,11/11/2010,4044.02,13.88,0.0996,134723.97
155,Mavra Lamblin,88916.48,Environmental Specialist,Training,10/4/2019,1015.97,17.63,0.4035,66920.62
156,Micky Latta,67305.19,Help Desk Operator,Product Management,8/5/2022,2479.54,15.12,0.4194,44210.79
157,Jillian Britt,33502.81,Account Coordinator,Services,4/28/2015,1965.82,6.05,0.3884,133806.96
158,Amalle Alessandrini,87134.94,Social Worker,Human Resources,6/28/2005,3598.77,4.41,0.4723,62015.19
159,Alessandro Ruddin,129855.5,Recruiting Manager,Legal,11/22/2003,3361.8,10.06,0.0527,15645.24
160,Rosmunda Faughny,34408.38,Staff Scientist,Services,2/9/2009,968.73,7.89,0.4334,33540.47
161,Massimo Kynd,86653.24,Registered Nurse,Research and Development,9/3/2020,703.15,4.02,0.2975,23977.25
162,Lauraine Dineen,127717.54,VP Product Management,Training,9/9/2022,550.39,15.31,0.3114,101153.34
163,Isac Gostage,141691.81,Structural Analysis Engineer,Training,4/1/2013,2455.68,2.93,0.3253,127971.42
164,Egon Smithin,40034.76,Executive Secretary,Support,10/8/2008,1500.7,0.35,0.0233,44218.82
165,Padraic Colthard,48008.68,Programmer Analyst III,Legal,3/29/2008,433.42,10.75,0.2735,124512.31
166,Bondon Allston,41971.25,Project Manager,Legal,10/31/2014,4551.42,4.75,0.3782,23345.1
167,Field Lovering,93806.94,Actuary,Accounting,1/2/2020,378.98,5.35,0.2071,118713.39
168,Bertram Meininking,65335.13,Technical Writer,Sales,8/17/2004,1443.96,7.35,0.1846,68313.92
169,Bennie Bristoe,109269.47,Recruiting Manager,Business Development,8/5/2006,1236.11,12.33,0.268,41244.09
170,Rakel Jiru,114203.85,Cost Accountant,Sales,3/15/2014,345.26,18.08,0.4403,87121.57
171,Kirstin Stemson,141066.74,Nurse,Product Management,6/15/2015,4491.45,19.15,0.239,56937.47
172,Dario Lammerding,129935.3,Data Coordinator,Legal,5/16/2014,3976.69,2.19,0.0712,133305.64
173,Lorianne Tatford,146910.67,Analyst Programmer,Accounting,7/3/2017,3643.45,5.98,0.2279,105679.95
174,Maddie Blasing,52495.36,VP Product Management,Product Management,2/29/2000,2741.95,2.81,0.3499,138138.28
175,Knox Wrenn,75242.52,GIS Technical Architect,Sales,12/7/2016,4758.97,4.6,0.0126,41162.18
176,Giustino Zuanelli,43967.17,Senior Developer,Training,7/23/2019,3544.18,4.11,0.1536,81254.33
177,Bendicty Goadsby,93762.23,Staff Scientist,Product Management,2/8/2014,2054.4,19.4,0.4719,78627.95
178,Noell Duffit,48026.54,Marketing Manager,Human Resources,4/29/2010,4110.01,8.52,0.3066,30591.04
179,Marius Ysson,117619.79,Assistant Media Planner,Legal,8/28/2004,1016.77,6.78,0.0609,57211.94
180,Ellette Grombridge,20021.66,Budget/Accounting Analyst I,Accounting,10/19/2004,1154.25,11.03,0.4581,67929.28
181,Moina Cheves,119538.33,Research Nurse,Sales,7/2/2012,681.7,16.38,0.1944,128978.71
182,Grange Bebb,84561.03,Chief Design Engineer,Product Management,7/25/2010,3018.34,17.85,0.33,94299.56
183,Kenyon Cron,75090.79,Staff Scientist,Accounting,10/30/2018,4876.78,12.8,0.2315,121391.27
184,Vernen Sedge,57799.17,Civil Engineer,Business Development,11/19/2011,2820.57,9.44,0.3793,102182.04
185,Nicko Bembridge,148459.78,Software Consultant,Human Resources,11/26/2007,3190.06,14.29,0.098,113892.37
186,Demetria Skyner,112575.73,Nuclear Power Engineer,Product Management,5/12/2001,4287.11,10.31,0.427,39055.01
187,Jdavie Pellingar,127924.54,Editor,Research and Development,10/22/2005,3543.03,14.5,0.3612,136282.47
188,Marcello Lampbrecht,70204.81,Media Manager IV,Engineering,10/21/2007,3158.93,13.65,0.2578,32353.18
189,Brew Mingaud,48261.7,Software Test Engineer II,Human Resources,3/11/2018,1839.58,4.92,0.0966,47641.74
190,Armstrong Dirand,99219.83,GIS Technical Architect,Services,2/21/2017,4230.08,8.29,0.1934,122695.52
191,Aubert Swendell,122307.88,Human Resources Manager,Engineering,4/19/2021,2619.09,1.29,0.1462,62460.4
192,Peggy Blanque,76048.69,Physical Therapy Assistant,Sales,6/11/2020,3244.74,6.35,0.2961,117122.06
193,Julieta Sherrington,53834.16,Information Systems Manager,Product Management,2/27/2003,3277.84,13.36,0.129,101578.99
194,Claudelle Stansbury,95326.22,Operator,Research and Development,12/8/2022,4460.33,16.78,0.2176,85371.54
195,Gisella McKeevers,32259.0,Mechanical Systems Engineer,Research and Development,3/3/2008,4598.63,2.16,0.2966,100343.27
196,Constance Tunbridge,127753.47,Administrative Assistant I,Sales,9/24/2022,3842.68,5.73,0.095,139728.9
197,Karalee Cloonan,48730.94,Product Engineer,Training,4/10/2002,2533.64,0.29,0.2169,106565.35
198,De witt Ruckledge,103184.95,Chemical Engineer,Sales,4/11/2019,1265.81,2.92,0.2145,27874.15
199,Regan Cotsford,89197.53,Teacher,Training,1/15/2005,2650.6,17.21,0.1165,107979.81
200,Moss Kaufman,137521.86,Administrative Assistant II,Research and Development,10/24/2017,129.74,9.26,0.4151,65017.21
201,Alexandrina Deary,106303.31,Community Outreach Specialist,Product Management,12/19/2009,1914.06,18.62,0.2358,33027.37
202,Gayleen Watt,58165.73,Data Coordinator,Marketing,5/29/2020,3168.78,7.61,0.4278,19808.25
203,Frederique Boichat,23397.33,Dental Hygienist,Product Management,10/8/2011,4431.71,6.51,0.0895,97062.88
204,Tobiah Geerits,50980.93,Recruiting Manager,Product Management,4/13/2000,3584.99,4.94,0.4666,20993.6
205,Ellene Noods,126360.47,Cost Accountant,Training,11/9/2000,1359.2,18.52,0.2937,118681.07
206,Kippie Stoppard,88750.28,Associate Professor,Legal,11/29/2000,4075.2,6.17,0.2991,101779.36
207,Ettie Goldbourn,91163.82,Research Associate,Marketing,8/16/2005,2962.5,0.78,0.4589,131611.71
208,Red Kundert,112290.95,Software Consultant,Product Management,7/14/2011,3350.77,18.17,0.4888,128221.57
209,Clarke Bowerbank,95892.72,Product Engineer,Accounting,9/16/2002,4831.02,4.16,0.4855,109998.1
210,Patrice Pighills,87852.99,Payment Adjustment Coordinator,Sales,8/30/2006,1355.93,7.03,0.1447,38735.31
211,Cordula Bailey,72746.12,Legal Assistant,Engineering,8/5/2014,1067.66,7.11,0.2428,33894.54
212,Yettie Morriarty,96025.43,Payment Adjustment Coordinator,Sales,1/4/2017,4201.24,14.4,0.1676,139145.16
213,Garrek Harrow,144635.73,Pharmacist,Training,10/30/2001,3574.13,14.64,0.1599,127810.89
214,Lynette Wincom,70974.97,Paralegal,Research and Development,11/8/2014,2314.38,6.22,0.4679,76274.13
215,Elita Durnell,119632.33,Programmer Analyst I,Human Resources,6/17/2010,1817.79,4.17,0.3777,91182.14
216,Cornelia Hincks,33520.13,Marketing Manager,Legal,1/4/2012,956.94,5.89,0.0017,125379.04
217,Burlie Bartod,74172.08,Civil Engineer,Product Management,5/12/2010,1906.26,8.97,0.0304,53339.49
218,Orrin Lifton,65472.82,Design Engineer,Human Resources,4/21/2006,453.98,15.67,0.4972,28521.06
219,Roch Bairnsfather,90758.29,Business Systems Development Analyst,Human Resources,12/17/2022,2047.22,17.63,0.1576,58047.27
220,Rochell Jeste,115448.19,Registered Nurse,Services,7/19/2011,4816.89,12.44,0.1892,73314.44
221,Katharina Klimke,125502.25,Geologist I,Sales,9/25/2014,4338.67,13.65,0.3965,74854.38
222,Renee Barukh,66750.87,Database Administrator II,Services,5/2/2010,4331.27,14.96,0.0237,22919.86
223,Ulrikaumeko Franey,77558.81,Food Chemist,Engineering,10/5/2020,2526.89,19.64,0.4984,117307.99
224,Brendin Mangeon,137232.35,VP Product Management,Marketing,5/25/2015,2431.82,19.78,0.3446,83961.71
225,Danyelle Kinsley,29838.93,Chemical Engineer,Engineering,4/3/2012,1784.99,5.77,0.3097,60173.1
226,Sarita O'Dee,90518.07,Technical Writer,Support,3/21/2006,4584.98,0.41,0.4871,27697.33
227,Philomena Brammer,26181.18,Graphic Designer,Training,11/14/2021,1135.76,17.1,0.2612,15970.88
228,Nat Meltetal,148310.57,Social Worker,Research and Development,3/10/2007,1935.71,6.88,0.4918,116517.03
229,Serge Pester,141498.6,VP Sales,Engineering,6/19/2003,3235.65,9.11,0.3505,36331.66
230,Calhoun Burdis,126717.16,Senior Editor,Engineering,10/27/2013,527.49,3.12,0.3532,90408.73
231,Farley Paish,32804.98,GIS Technical Architect,Legal,12/5/2022,289.94,0.62,0.4409,126429.8
232,Allistir Simek,103071.27,Marketing Assistant,Marketing,1/29/2007,1588.42,7.57,0.4568,129032.61
233,Emory Belderson,27625.4,Assistant Professor,Accounting,4/8/2006,4685.09,16.11,0.2813,66023.48
234,Ola Dalley,89910.64,VP Marketing,Legal,8/10/2006,2982.77,3.82,0.1417,110175.66
235,Gordie Brosini,68241.53,VP Quality Control,Sales,7/27/2000,794.21,19.17,0.391,36628.95
236,Seana Dart,32974.0,Office Assistant I,Business Development,6/7/2010,2940.4,18.64,0.0907,121444.17
237,Shirlene Holbury,100053.42,Registered Nurse,Research and Development,5/19/2007,620.67,0.1,0.2405,19431.41
238,Joceline Pogson,129389.95,Paralegal,Accounting,3/1/2010,2698.78,12.49,0.3081,89268.41
239,Clay Phipps,101873.06,Internal Auditor,Support,4/27/2010,2849.79,13.16,0.12,132456.2
240,Andris McFade,37907.15,Account Representative I,Accounting,11/2/2018,645.64,16.23,0.1188,30645.29
241,Cecil Kornel,144424.41,Librarian,Legal,9/16/2002,2754.99,4.21,0.2098,19672.19
242,Gleda Whyteman,129588.04,Developer I,Sales,4/11/2000,520.2,0.97,0.0405,62770.67
243,Reinald Bellfield,27027.14,Social Worker,Engineering,1/9/2021,1797.86,7.02,0.1291,54490.5
244,Kennie McClary,143249.67,Associate Professor,Sales,9/21/2013,47.51,11.01,0.1808,87478.57
245,Ebba Creboe,61517.69,Structural Engineer,Business Development,11/20/2010,3006.94,10.14,0.0685,51043.82
246,Ferdinanda Bounds,37236.14,Professor,Training,10/11/2008,4819.52,12.62,0.2858,27725.71
247,Gerard Boltwood,146709.75,Marketing Manager,Legal,11/3/2018,3619.62,11.13,0.4054,131879.88
248,Korrie Featherstonehaugh,76990.61,Chemical Engineer,Product Management,6/21/2008,3795.5,16.7,0.3539,85594.18
249,Donica Baccup,35295.42,Nurse,Sales,1/2/2002,555.52,17.09,0.2645,104052.74
250,Dotty Williams,139514.29,Account Executive,Marketing,11/17/2004,3541.87,13.44,0.3207,109108.61
251,Ninnetta Evett,102573.55,Office Assistant II,Human Resources,7/10/2005,3065.02,3.58,0.2133,109195.03
252,Kordula Duiged,122983.31,Account Executive,Accounting,5/9/2019,4540.48,18.77,0.4454,42882.73
253,Bartholomew Baccas,105286.03,Recruiter,Product Management,1/30/2003,873.32,13.96,0.1832,64984.51
254,Lelah Fulmen,91589.35,Professor,Sales,11/14/2006,3219.08,19.97,0.0172,116686.03
