id,first_name,last_name,email,gender,creditcard_number,patient_id,patient_name,age,diagnosis_code,diagnosis_description,procedure_code,procedure_description,admission_date,discharge_date,total_cost
11,Sibley,Dinzey,sdinzeya@accuweather.com,Genderqueer,3554242800526107,11,Sibley Dinzey,89,S8255XS,"Nondisplaced fracture of medial malleolus of left tibia, sequela",0D1B4Z4,"Bypass Ileum to Cutaneous, Percutaneous Endoscopic Approach",5/24/2022,10/13/2021,Franc
12,Corey,Lamberth,clamberthb@amazonaws.com,Female,630451817351183103,12,Corey Lamberth,6,M2503,"Hemarthrosis, wrist",0QSF4ZZ,"Reposition Left Patella, Percutaneous Endoscopic Approach",8/17/2020,5/7/2022,Euro
13,Delbert,Vogl,dvoglc@businessweek.com,Male,4508728076775126,13,Delbert Vogl,31,T43625D,"Adverse effect of amphetamines, subsequent encounter",0QUK0JZ,"Supplement Left Fibula with Synthetic Substitute, Open Approach",12/12/2021,9/4/2022,Rupiah
14,Tim,Crowson,tcrowsond@vistaprint.com,Female,3560905858387869,14,Tim Crowson,2,Y90,Evidence of alcohol involvement determined by blood alcohol level,0WH031Z,"Insertion of Radioactive Element into Head, Percutaneous Approach",1/5/2020,9/28/2022,Som
15,Killian,Allcorn,kallcorne@comsenz.com,Male,30308688393512,15,Killian Allcorn,24,T23302,"Burn of third degree of left hand, unspecified site",0HRCXJZ,"Replacement of Left Upper Arm Skin with Synthetic Substitute, External Approach",12/17/2021,11/7/2022,Yuan Renminbi
16,Ichabod,Considine,iconsidinef@dailymail.co.uk,Male,6759840295847175960,16,Ichabod Considine,93,S62396,"Other fracture of fifth metacarpal bone, right hand",BT171ZZ,Fluoroscopy of Left Ureter using Low Osmolar Contrast,6/13/2022,9/9/2022,Yuan Renminbi
17,Zedekiah,Olenchikov,zolenchikovg@list-manage.com,Male,201683306045394,17,Zedekiah Olenchikov,79,T442X5S,"Adverse effect of ganglionic blocking drugs, sequela",0PQD4ZZ,"Repair Left Humeral Head, Percutaneous Endoscopic Approach",10/26/2021,8/15/2020,Krona
18,Feodora,Dilleston,fdillestonh@reverbnation.com,Female,3532543418287561,18,Feodora Dilleston,120,S52019,Torus fracture of upper end of unspecified ulna,04CF3Z6,"Extirpation of Matter from Left Internal Iliac Artery, Bifurcation, Percutaneous Approach",8/23/2020,8/16/2022,Real
19,Hildy,Duffit,hduffiti@nytimes.com,Female,4936334219259993966,19,Hildy Duffit,28,S92506P,"Nondisplaced unspecified fracture of unspecified lesser toe(s), subsequent encounter for fracture with malunion",04780DZ,"Dilation of Middle Colic Artery with Intraluminal Device, Open Approach",11/2/2020,4/18/2022,Yuan Renminbi
20,Andrew,Walcot,awalcotj@fc2.com,Male,5475701865218349,20,Andrew Walcot,17,S42481S,"Torus fracture of lower end of right humerus, sequela",0K9M0ZX,"Drainage of Perineum Muscle, Open Approach, Diagnostic",5/8/2021,6/14/2022,Yuan Renminbi
21,Anstice,Peterkin,apeterkink@slashdot.org,Female,560224360586310279,21,Anstice Peterkin,40,I8272,Chronic embolism and thrombosis of deep veins of upper extremity,0KNJ4ZZ,"Release Left Thorax Muscle, Percutaneous Endoscopic Approach",3/20/2020,3/4/2022,Ruble
22,Candy,MacCaig,cmaccaigl@gizmodo.com,Female,5602249439096722,22,Candy MacCaig,83,C7259,Malignant neoplasm of other cranial nerves,0FV63CZ,"Restriction of Left Hepatic Duct with Extraluminal Device, Percutaneous Approach",8/23/2020,1/14/2020,Som
23,Arie,Wakes,awakesm@cbc.ca,Male,372301591542214,23,Arie Wakes,20,S72451F,"Displaced supracondylar fracture without intracondylar extension of lower end of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",30250V1,"Transfusion of Nonautologous Antihemophilic Factors into Peripheral Artery, Open Approach",4/22/2021,5/19/2022,Yuan Renminbi
24,Jeralee,Looker,jlookern@umn.edu,Female,5048375045173209,24,Jeralee Looker,93,S92323G,"Displaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing",0XR,"Anatomical Regions, Upper Extremities, Replacement",5/4/2021,5/3/2020,Lari
25,Clint,Lermouth,clermoutho@bbb.org,Male,6378948879694678,25,Clint Lermouth,71,S45192S,"Other specified injury of brachial artery, left side, sequela",0RWP0KZ,"Revision of Nonautologous Tissue Substitute in Left Wrist Joint, Open Approach",1/3/2020,6/22/2022,Rupiah
26,Andie,Smullin,asmullinp@squidoo.com,Non-binary,6333312452064656,26,Andie Smullin,98,S60419,Abrasion of unspecified finger,0DL30CZ,"Occlusion of Lower Esophagus with Extraluminal Device, Open Approach",8/27/2021,6/5/2020,Yuan Renminbi
27,Tyrus,Stayte,tstayteq@nbcnews.com,Male,30013210419914,27,Tyrus Stayte,27,M2762,Post-osseointegration biological failure of dental implant,0273356,"Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",11/2/2020,6/14/2021,Dollar
28,Katharine,Snead,ksneadr@quantcast.com,Female,490341838206717757,28,Katharine Snead,70,S53441D,"Ulnar collateral ligament sprain of right elbow, subsequent encounter",0RRR0KZ,"Replacement of Left Carpal Joint with Nonautologous Tissue Substitute, Open Approach",9/16/2022,6/7/2020,Rupiah
29,Renie,Knowlton,rknowltons@buzzfeed.com,Female,5602230180515540,29,Renie Knowlton,11,S60429A,"Blister (nonthermal) of unspecified finger, initial encounter",0DR57JZ,"Replacement of Esophagus with Synthetic Substitute, Via Natural or Artificial Opening",3/18/2021,8/25/2021,Pound
30,Hi,Fermer,hfermert@nydailynews.com,Male,633424119326753724,30,Hi Fermer,8,H5202,"Hypermetropia, left eye",0FPB3JZ,"Removal of Synthetic Substitute from Hepatobiliary Duct, Percutaneous Approach",12/11/2022,1/16/2021,Yuan Renminbi
31,Ailene,Flewin,aflewinu@arizona.edu,Female,6304734160750780145,31,Ailene Flewin,29,N992,Postprocedural adhesions of vagina,0UF58ZZ,"Fragmentation in Right Fallopian Tube, Via Natural or Artificial Opening Endoscopic",8/2/2020,3/7/2020,Rial
32,Car,Chauvey,cchauveyv@ibm.com,Male,560223213822201706,32,Car Chauvey,17,S224,Multiple fractures of ribs,0CSW0Z0,"Reposition Upper Tooth, Single, Open Approach",5/9/2020,7/26/2022,Naira
33,Padriac,Archdeacon,parchdeaconw@meetup.com,Male,3573889685417617,33,Padriac Archdeacon,103,E7219,Other disorders of sulfur-bearing amino-acid metabolism,0WP20YZ,"Removal of Other Device from Face, Open Approach",8/8/2021,8/19/2022,Naira
34,Star,Zanioletti,szaniolettix@surveymonkey.com,Female,3580584255880531,34,Star Zanioletti,88,S0420,"Injury of trochlear nerve, unspecified side",02720T6,"Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach",7/4/2020,8/3/2021,Ruble
35,Laurianne,Fowell,lfowelly@addthis.com,Female,3531799402401342,35,Laurianne Fowell,112,H4042X0,"Glaucoma secondary to eye inflammation, left eye, stage unspecified",041K0JK,"Bypass Right Femoral Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach",2/28/2022,1/19/2020,Rupiah
36,Xenia,Tricker,xtrickerz@japanpost.jp,Female,4017956502561,36,Xenia Tricker,50,T8384XS,"Pain due to genitourinary prosthetic devices, implants and grafts, sequela",03U84KZ,"Supplement Left Brachial Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",8/20/2021,7/31/2020,Rupiah
37,Gypsy,Ramey,gramey10@quantcast.com,Female,4936146540762537992,37,Gypsy Ramey,85,N920,Excessive and frequent menstruation with regular cycle,06UT07Z,"Supplement Right Foot Vein with Autologous Tissue Substitute, Open Approach",1/29/2022,1/15/2021,Yuan Renminbi
38,Abelard,Cornels,acornels11@guardian.co.uk,Male,6331101276133249,38,Abelard Cornels,38,S68110A,"Complete traumatic metacarpophalangeal amputation of right index finger, initial encounter",041L0ZQ,"Bypass Left Femoral Artery to Lower Extremity Artery, Open Approach",2/26/2022,12/11/2022,Hryvnia
39,Trace,Grinter,tgrinter12@posterous.com,Male,5893957360678630496,39,Trace Grinter,117,T485X3D,"Poisoning by other anti-common-cold drugs, assault, subsequent encounter",0TPB4CZ,"Removal of Extraluminal Device from Bladder, Percutaneous Endoscopic Approach",3/18/2022,2/11/2022,Yuan Renminbi
40,Rois,Aleixo,raleixo13@163.com,Female,561065149075842102,40,Rois Aleixo,30,M4200,"Juvenile osteochondrosis of spine, site unspecified",0CX60ZZ,"Transfer Lower Gingiva, Open Approach",8/9/2022,4/13/2022,Peso
41,Rina,Loosley,rloosley14@rakuten.co.jp,Polygender,346169879596456,41,Rina Loosley,11,H44411,Flat anterior chamber hypotony of right eye,0XW747Z,"Revision of Autologous Tissue Substitute in Left Upper Extremity, Percutaneous Endoscopic Approach",12/21/2021,3/22/2020,Peso
42,Avie,Cuttle,acuttle15@prnewswire.com,Agender,3548566865498904,42,Avie Cuttle,34,S99029,Salter-Harris Type II physeal fracture of unspecified calcaneus,0FLD8DZ,"Occlusion of Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",6/20/2022,7/13/2022,Yuan Renminbi
43,Francois,Bourcq,fbourcq16@nba.com,Male,5007668546831567,43,Francois Bourcq,82,S06349S,"Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration, sequela",059V0ZZ,"Drainage of Left Face Vein, Open Approach",6/24/2021,7/1/2022,Krona
44,Granger,Hoofe,ghoofe17@cpanel.net,Male,4026169983903746,44,Granger Hoofe,85,S142XXA,"Injury of nerve root of cervical spine, initial encounter",0D7Q0ZZ,"Dilation of Anus, Open Approach",12/1/2021,12/24/2020,Yuan Renminbi
45,Brett,McAlister,bmcalister18@eepurl.com,Female,3561721472455720,45,Brett McAlister,16,P358,Other congenital viral diseases,0RG74AJ,"Fusion of 2 to 7 Thoracic Vertebral Joints with Interbody Fusion Device, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach",4/2/2021,7/16/2022,Rupiah
46,Lona,Bolduc,lbolduc19@unc.edu,Female,201414483893004,46,Lona Bolduc,33,S59219P,"Salter-Harris Type I physeal fracture of lower end of radius, unspecified arm, subsequent encounter for fracture with malunion",3E0K80M,"Introduction of Monoclonal Antibody into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic",9/21/2020,4/8/2021,Euro
47,Marchelle,Shepperd,mshepperd1a@github.io,Female,490384830448233220,47,Marchelle Shepperd,37,S72125E,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type I or II with routine healing",04U34JZ,"Supplement Hepatic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",7/12/2022,4/3/2021,Peso
48,Reece,Magor,rmagor1b@posterous.com,Male,5568758674501172,48,Reece Magor,69,S61217D,"Laceration without foreign body of left little finger without damage to nail, subsequent encounter",061Q07Y,"Bypass Left Greater Saphenous Vein to Lower Vein with Autologous Tissue Substitute, Open Approach",1/6/2021,4/2/2021,Euro
49,Leon,Pucknell,lpucknell1c@microsoft.com,Genderqueer,3540880409279854,49,Leon Pucknell,111,T22651D,"Corrosion of second degree of right shoulder, subsequent encounter",0PW737Z,"Revision of Autologous Tissue Substitute in Right Glenoid Cavity, Percutaneous Approach",12/21/2022,12/2/2020,Yen
50,Vittorio,Burgyn,vburgyn1d@bloomberg.com,Male,56022266160555903,50,Vittorio Burgyn,93,T6393XS,"Toxic effect of contact with unspecified venomous animal, assault, sequela",0QH84DZ,"Insertion of Hybrid External Fixation Device into Right Femoral Shaft, Percutaneous Endoscopic Approach",4/1/2020,10/26/2021,Ruble
51,Kin,Perrett,kperrett1e@cargocollective.com,Male,3570757997118400,51,Kin Perrett,67,M71532,"Other bursitis, not elsewhere classified, left wrist",00QB3ZZ,"Repair Pons, Percutaneous Approach",11/27/2022,2/14/2022,Euro
52,Vin,Dei,vdei1f@businessinsider.com,Female,3580511819868033,52,Vin Dei,44,L415,Retiform parapsoriasis,061R0ZY,"Bypass Right Lesser Saphenous Vein to Lower Vein, Open Approach",2/13/2021,6/1/2022,Kwanza
53,Tommie,Torbett,ttorbett1g@washington.edu,Female,372301484561511,53,Tommie Torbett,30,S31151S,"Open bite of abdominal wall, left upper quadrant without penetration into peritoneal cavity, sequela",0NSB04Z,"Reposition Nasal Bone with Internal Fixation Device, Open Approach",4/29/2020,5/26/2022,Yuan Renminbi
54,Tully,Jermy,tjermy1h@phpbb.com,Male,3577142466240147,54,Tully Jermy,4,T8483XA,"Hemorrhage due to internal orthopedic prosthetic devices, implants and grafts, initial encounter",0T774ZZ,"Dilation of Left Ureter, Percutaneous Endoscopic Approach",1/8/2020,2/25/2021,Euro
55,Willette,Vardie,wvardie1i@slate.com,Female,3561374594743795,55,Willette Vardie,90,M08851,"Other juvenile arthritis, right hip",0DB54ZZ,"Excision of Esophagus, Percutaneous Endoscopic Approach",5/27/2021,4/13/2022,Peso
56,Ethelin,Diamant,ediamant1j@nyu.edu,Genderqueer,3566422055764183,56,Ethelin Diamant,4,T8734,"Neuroma of amputation stump, left lower extremity",0RSQ34Z,"Reposition Right Carpal Joint with Internal Fixation Device, Percutaneous Approach",4/19/2020,2/6/2022,Euro
57,Fayth,Aird,faird1k@wordpress.com,Non-binary,201581146949348,57,Fayth Aird,110,I70438,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg,0HCX7ZZ,"Extirpation of Matter from Left Nipple, Via Natural or Artificial Opening",1/21/2020,8/3/2021,Rupiah
58,Nollie,Golston,ngolston1l@wsj.com,Non-binary,3551438128760351,58,Nollie Golston,109,M0687,"Other specified rheumatoid arthritis, ankle and foot",F07H3UZ,Motor Function Treatment of Integumentary System - Whole Body using Prosthesis,7/6/2020,3/7/2022,Yuan Renminbi
59,Dorrie,Colum,dcolum1m@bing.com,Female,3587465626414148,59,Dorrie Colum,27,S72023B,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type I or II",CG12GZZ,Planar Nuclear Medicine Imaging of Thyroid Gland using Iodine 131 (I-131),3/11/2020,11/2/2022,Yuan Renminbi
60,Ragnar,Stive,rstive1n@chicagotribune.com,Male,6767145187268373,60,Ragnar Stive,32,S63311S,"Traumatic rupture of collateral ligament of right wrist, sequela",03Q60ZZ,"Repair Left Axillary Artery, Open Approach",2/2/2020,11/26/2020,Peso
61,Lorita,Petrashkov,lpetrashkov1o@symantec.com,Female,67062729111234819,61,Lorita Petrashkov,10,S37052D,"Moderate laceration of left kidney, subsequent encounter",0BCK3ZZ,"Extirpation of Matter from Right Lung, Percutaneous Approach",9/15/2021,1/31/2020,Euro
62,Agustin,Fowley,afowley1p@twitpic.com,Male,3585310991042664,62,Agustin Fowley,9,M0027,"Other streptococcal arthritis, ankle and foot",08WL0JZ,"Revision of Synthetic Substitute in Right Extraocular Muscle, Open Approach",12/4/2021,8/20/2022,Gourde
63,Melita,Ramelot,mramelot1q@imageshack.us,Female,67637285392525710,63,Melita Ramelot,115,S32121B,"Minimally displaced Zone II fracture of sacrum, initial encounter for open fracture",0YJ1XZZ,"Inspection of Left Buttock, External Approach",11/17/2022,12/21/2022,Yuan Renminbi
64,Tybalt,Littleover,tlittleover1r@ifeng.com,Male,4041595503194,64,Tybalt Littleover,115,M8503,"Fibrous dysplasia (monostotic), forearm",02LS0DZ,"Occlusion of Right Pulmonary Vein with Intraluminal Device, Open Approach",3/31/2020,1/4/2021,Koruna
65,Kala,Reidie,kreidie1s@google.pl,Female,4508574126912057,65,Kala Reidie,56,Y36190A,"War operations involving other destruction of aircraft, military personnel, initial encounter",037V0EZ,"Dilation of Left Thyroid Artery with Two Intraluminal Devices, Open Approach",4/17/2021,10/28/2020,Naira
66,Gardener,Brion,gbrion1t@chicagotribune.com,Male,374283657880209,66,Gardener Brion,109,X011XXA,"Exposure to smoke in uncontrolled fire, not in building or structure, initial encounter",0LUL4JZ,"Supplement Right Upper Leg Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach",1/2/2021,10/19/2022,Yuan Renminbi
67,Elston,Miklem,emiklem1u@cisco.com,Male,630407015941294812,67,Elston Miklem,108,K05211,"Aggressive periodontitis, localized, slight",059930Z,"Drainage of Right Brachial Vein with Drainage Device, Percutaneous Approach",5/12/2022,6/27/2020,Yuan Renminbi
68,Darice,Simenel,dsimenel1v@state.tx.us,Female,4913616222960073,68,Darice Simenel,35,W5311XD,"Bitten by rat, subsequent encounter",0KUD4KZ,"Supplement Left Hand Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",8/28/2021,1/5/2022,Tugrik
69,Twila,Schirak,tschirak1w@mapquest.com,Female,3584463586008623,69,Twila Schirak,8,M85052,"Fibrous dysplasia (monostotic), left thigh",021709S,"Bypass Left Atrium to Right Pulmonary Vein with Autologous Venous Tissue, Open Approach",6/23/2022,7/30/2021,Peso
70,Celinda,Niece,cniece1x@jigsy.com,Female,3564975729535562,70,Celinda Niece,115,M770,Medial epicondylitis,00163K2,"Bypass Cerebral Ventricle to Atrium with Nonautologous Tissue Substitute, Percutaneous Approach",10/31/2021,12/28/2021,Peso
71,Nara,Tee,ntee1y@independent.co.uk,Agender,4041377678057,71,Nara Tee,8,H4043X3,"Glaucoma secondary to eye inflammation, bilateral, severe stage",03LQ3ZZ,"Occlusion of Left Vertebral Artery, Percutaneous Approach",3/16/2020,7/6/2020,Dinar
72,Emmye,Mullan,emullan1z@vimeo.com,Female,3575830047360424,72,Emmye Mullan,80,M60261,"Foreign body granuloma of soft tissue, not elsewhere classified, right lower leg",0RWR4JZ,"Revision of Synthetic Substitute in Left Carpal Joint, Percutaneous Endoscopic Approach",4/11/2022,9/17/2022,Euro
73,Kelcey,Booy,kbooy20@businesswire.com,Female,201996814149692,73,Kelcey Booy,41,W2101XS,"Struck by football, sequela",0RGX45Z,"Fusion of Left Finger Phalangeal Joint with External Fixation Device, Percutaneous Endoscopic Approach",2/13/2022,1/5/2020,Yuan Renminbi
74,Yovonnda,Mell,ymell21@reference.com,Female,30495756869406,74,Yovonnda Mell,22,O9882,Other maternal infectious and parasitic diseases complicating childbirth,0VC13ZZ,"Extirpation of Matter from Right Seminal Vesicle, Percutaneous Approach",10/26/2022,10/11/2021,Ruble
75,Keslie,Surmeir,ksurmeir22@chron.com,Female,3559267074030846,75,Keslie Surmeir,69,D314,Benign neoplasm of ciliary body,0TW50JZ,"Revision of Synthetic Substitute in Kidney, Open Approach",2/24/2022,7/25/2021,Krona
76,Munmro,De Marchi,mde23@moonfruit.com,Male,346738002132320,76,Munmro De Marchi,84,T466X1S,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, accidental (unintentional), sequela",00B74ZX,"Excision of Cerebral Hemisphere, Percutaneous Endoscopic Approach, Diagnostic",12/20/2021,5/19/2020,Dollar
77,Piper,Belford,pbelford24@auda.org.au,Female,3545485587470716,77,Piper Belford,15,T2621,Burn with resulting rupture and destruction of right eyeball,0UM90ZZ,"Reattachment of Uterus, Open Approach",10/9/2021,7/10/2021,Sol
78,Katleen,Iglesiaz,kiglesiaz25@blogger.com,Female,3569683134885524,78,Katleen Iglesiaz,80,H50411,"Cyclotropia, right eye",0CSXXZ1,"Reposition Lower Tooth, Multiple, External Approach",3/3/2020,7/16/2021,Dollar
79,Will,Tapply,wtapply26@slideshare.net,Male,3589798349213613,79,Will Tapply,44,O009,"Ectopic pregnancy, unspecified",0B723ZZ,"Dilation of Carina, Percutaneous Approach",1/29/2022,11/8/2021,Lev
80,Selina,McTurlough,smcturlough27@smugmug.com,Female,5602254519069959138,80,Selina McTurlough,32,M2107,"Valgus deformity, not elsewhere classified, ankle",02UD3JZ,"Supplement Papillary Muscle with Synthetic Substitute, Percutaneous Approach",11/12/2022,11/17/2020,Ruble
81,Gabriela,Morman,gmorman28@desdev.cn,Female,560222536166847663,81,Gabriela Morman,62,S82443F,"Displaced spiral fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",0NW047Z,"Revision of Autologous Tissue Substitute in Skull, Percutaneous Endoscopic Approach",12/17/2022,8/29/2022,Yuan Renminbi
82,Scott,Choupin,schoupin29@sphinn.com,Male,3543533648927232,82,Scott Choupin,69,M84343D,"Stress fracture, unspecified hand, subsequent encounter for fracture with routine healing",0PNC3ZZ,"Release Right Humeral Head, Percutaneous Approach",7/13/2021,1/18/2020,Yuan Renminbi
83,Fin,Scoffham,fscoffham2a@bloomberg.com,Male,3545116148108061,83,Fin Scoffham,104,Y77,Ophthalmic devices associated with adverse incidents,06R307Z,"Replacement of Esophageal Vein with Autologous Tissue Substitute, Open Approach",5/9/2021,7/21/2022,Euro
84,Thornton,Brandes,tbrandes2b@cnbc.com,Male,5272065933137039,84,Thornton Brandes,14,H8103,"Meniere's disease, bilateral",0RWAX7Z,"Revision of Autologous Tissue Substitute in Thoracolumbar Vertebral Joint, External Approach",6/14/2020,8/10/2021,Real
85,Gabriel,Pesticcio,gpesticcio2c@weebly.com,Female,3572122767259876,85,Gabriel Pesticcio,69,W4902XD,"String or thread causing external constriction, subsequent encounter",07520ZZ,"Destruction of Left Neck Lymphatic, Open Approach",11/17/2021,1/31/2020,Rupee
86,Isacco,Schnieder,ischnieder2d@topsy.com,Non-binary,3546000568057603,86,Isacco Schnieder,119,S62009G,"Unspecified fracture of navicular [scaphoid] bone of unspecified wrist, subsequent encounter for fracture with delayed healing",0RWC03Z,"Revision of Infusion Device in Right Temporomandibular Joint, Open Approach",4/6/2020,10/19/2022,Peso
87,Jamey,Rising,jrising2e@prlog.org,Male,3564196757245210,87,Jamey Rising,16,M90829,"Osteopathy in diseases classified elsewhere, unspecified upper arm",05S30ZZ,"Reposition Right Innominate Vein, Open Approach",12/14/2020,7/25/2020,Yuan Renminbi
88,Lindsey,Sibille,lsibille2f@spotify.com,Male,3562066125869854,88,Lindsey Sibille,94,T8529XA,"Other mechanical complication of intraocular lens, initial encounter",0TH533Z,"Insertion of Infusion Device into Kidney, Percutaneous Approach",3/13/2021,11/14/2021,Dollar
89,Aylmer,Folomin,afolomin2g@blogtalkradio.com,Male,676279063958220880,89,Aylmer Folomin,36,Z724,Inappropriate diet and eating habits,0GBG0ZZ,"Excision of Left Thyroid Gland Lobe, Open Approach",2/25/2021,1/3/2021,Peso
90,Tobiah,Mackieson,tmackieson2h@unblog.fr,Male,3555892245622421,90,Tobiah Mackieson,4,S72115R,"Nondisplaced fracture of greater trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",3E0N3GC,"Introduction of Other Therapeutic Substance into Male Reproductive, Percutaneous Approach",10/19/2022,4/4/2020,Ruble
91,Cathlene,Comar,ccomar2i@instagram.com,Female,5602226270286026,91,Cathlene Comar,94,W5801,Bitten by alligator,0XBK0ZX,"Excision of Left Hand, Open Approach, Diagnostic",3/10/2022,10/3/2022,Won
92,Adler,Fossick,afossick2j@wiley.com,Male,4917421864909215,92,Adler Fossick,53,T83030A,"Leakage of cystostomy catheter, initial encounter",DB054ZZ,"Beam Radiation of Pleura using Heavy Particles (Protons,Ions)",6/30/2020,6/2/2021,Peso
93,Meredith,Lardier,mlardier2k@pinterest.com,Female,3542511179408369,93,Meredith Lardier,101,S66919A,"Strain of unspecified muscle, fascia and tendon at wrist and hand level, unspecified hand, initial encounter",0GTK0ZZ,"Resection of Thyroid Gland, Open Approach",11/19/2021,4/23/2021,Euro
94,Teddy,Prattington,tprattington2l@wikia.com,Male,5602222339007933,94,Teddy Prattington,90,T22242,Burn of second degree of left axilla,0YUL47Z,"Supplement Left Ankle Region with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",2/15/2022,12/18/2022,Euro
95,Cash,Winfield,cwinfield2m@posterous.com,Male,372301556003541,95,Cash Winfield,98,W091XXS,"Fall from playground swing, sequela",05UV37Z,"Supplement Left Face Vein with Autologous Tissue Substitute, Percutaneous Approach",11/13/2020,10/16/2021,Peso
96,Alonso,Rydzynski,arydzynski2n@digg.com,Male,3573332528615220,96,Alonso Rydzynski,42,M65279,"Calcific tendinitis, unspecified ankle and foot",0DY50Z2,"Transplantation of Esophagus, Zooplastic, Open Approach",12/3/2020,8/16/2021,Euro
97,Brig,Hanwell,bhanwell2o@hexun.com,Male,5018725664700620804,97,Brig Hanwell,46,V113XXA,"Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, initial encounter",0DBK0ZZ,"Excision of Ascending Colon, Open Approach",5/11/2022,10/21/2021,Rupiah
98,Heall,Glassopp,hglassopp2p@blog.com,Non-binary,6759347482754648878,98,Heall Glassopp,23,A3211,Listerial meningitis,047W4ZZ,"Dilation of Left Foot Artery, Percutaneous Endoscopic Approach",3/19/2020,3/4/2020,Rupiah
