employee_id,full_name,job_title,department,hire_date,salary,manager_id,employment_status
43,Wynne Coombes,Web Designer I,Sales,10/21/2023,146205.14,43,Terminated
44,Elbertine Mougeot,Developer I,Training,10/6/2023,76349.36,44,On Leave
45,Lonny Pascho,Internal Auditor,Accounting,2/14/2024,43134.05,45,Terminated
46,Philbert Hughill,Safety Technician I,Research and Development,6/18/2023,116958.58,46,Resigned
47,Katey Atlay,Assistant Manager,Product Management,7/12/2023,55261.73,47,Active
48,Nathalie Stile,Programmer III,Legal,1/30/2024,57891.87,48,Terminated
49,Mace Cockshut,Environmental Tech,Human Resources,2/27/2024,79643.85,49,Active
50,Gabe Novis,Senior Editor,Research and Development,1/30/2024,32443.54,50,Resigned
51,Job Tilly,Database Administrator I,Product Management,7/3/2023,130789.92,51,Terminated
52,Theodora Bohl,Food Chemist,Engineering,12/30/2023,35500.56,52,On Leave
53,Kelby Hymans,Pharmacist,Product Management,2/11/2024,120615.91,53,Terminated
54,Tani Curry,Accounting Assistant III,Business Development,5/1/2023,52960.19,54,Terminated
55,Charmian Attwoul,Safety Technician IV,Support,7/6/2023,122268.41,55,Active
56,Sammy Brigham,Nurse Practicioner,Training,8/1/2023,145989.97,56,Active
57,Normand Nottram,Financial Analyst,Support,1/1/2023,48350.43,57,Active
58,Tessy Sikorsky,Programmer Analyst I,Marketing,9/8/2023,131303.13,58,Resigned
59,Allard Andryushin,Senior Cost Accountant,Support,4/4/2023,96614.32,59,Active
60,Adina Curwood,Programmer Analyst I,Legal,7/11/2023,141614.2,60,Active
61,Kristan Geyton,Help Desk Technician,Engineering,10/7/2023,36435.8,61,On Leave
62,Norean Elvy,Quality Control Specialist,Training,8/21/2023,131778.4,62,On Leave
63,Carver Bassam,Chief Design Engineer,Sales,7/20/2023,103653.7,63,Active
64,Philipa Elan,Clinical Specialist,Legal,11/28/2023,120019.62,64,On Leave
65,Cristian Wyld,Biostatistician I,Product Management,7/23/2023,71457.23,65,Active
66,Joey Carnduff,Senior Financial Analyst,Training,8/31/2023,129274.94,66,On Leave
67,Pace Shirlaw,Human Resources Manager,Research and Development,4/15/2023,71882.57,67,Active
68,Jannelle Rickaert,Geologist II,Marketing,11/15/2023,40519.3,68,Resigned
69,Abie Nestle,Software Test Engineer I,Engineering,12/6/2023,51819.3,69,Active
70,Charo Dautry,Analyst Programmer,Business Development,1/31/2023,84506.43,70,On Leave
71,Trixie Le Maitre,Research Associate,Marketing,1/5/2023,64632.04,71,On Leave
72,Pauletta Esgate,Mechanical Systems Engineer,Sales,11/30/2023,119917.33,72,Resigned
73,Christophorus Garr,Research Nurse,Research and Development,1/4/2023,47616.77,73,Terminated
74,Lowell Lempenny,Help Desk Technician,Marketing,1/28/2023,83460.27,74,Resigned
75,Cathrine Dinning,Human Resources Assistant I,Sales,3/10/2024,121750.82,75,On Leave
76,Evie Southorn,Financial Advisor,Legal,10/15/2023,144756.69,76,Resigned
77,Nari Gatheral,Office Assistant I,Training,1/10/2024,120647.12,77,Active
78,Joanie Sanders,Assistant Manager,Legal,6/5/2023,47316.33,78,Resigned
79,Reggi Denkin,Research Assistant II,Support,2/25/2023,79481.81,79,Resigned
80,Smitty Lorain,Dental Hygienist,Support,2/28/2024,94346.04,80,Resigned
81,Nert Walmsley,Geologist I,Services,10/26/2023,32383.28,81,Active
82,Freeland McGrill,Compensation Analyst,Support,9/2/2023,132500.81,82,Active
83,Philippine MacAleese,Payment Adjustment Coordinator,Marketing,1/29/2023,91297.09,83,Resigned
84,Harald Mayman,Web Designer IV,Legal,5/1/2023,37301.19,84,Terminated
85,Kamila Fetherston,Environmental Specialist,Training,12/4/2023,36076.24,85,Terminated
86,Elvin Elldred,Pharmacist,Legal,4/16/2023,58796.81,86,Resigned
87,Mead Laurenceau,Internal Auditor,Sales,3/24/2023,144567.25,87,Terminated
88,Orel Papa,Sales Associate,Sales,6/18/2023,40868.62,88,On Leave
89,Barron Alessandone,Health Coach IV,Product Management,3/24/2023,51356.33,89,Active
90,Alley Crookall,Software Test Engineer II,Training,2/19/2023,30275.45,90,Terminated
91,Madalena Willwood,Budget/Accounting Analyst IV,Accounting,6/11/2023,105261.22,91,On Leave
92,Scottie Coley,Environmental Specialist,Services,3/11/2023,127722.75,92,Resigned
93,Hetti Etchells,Programmer II,Training,3/5/2024,102033.52,93,Resigned
94,Jordana Bizley,Compensation Analyst,Services,11/16/2023,31451.8,94,Active
95,Emili Cazin,Data Coordinator,Human Resources,1/1/2023,34420.21,95,Terminated
96,Clemente Rockell,Dental Hygienist,Business Development,12/5/2023,127095.36,96,On Leave
97,Lisette Stirzaker,Database Administrator III,Accounting,7/24/2023,132522.99,97,Terminated
98,Giavani Caudle,Payment Adjustment Coordinator,Accounting,12/10/2023,80279.86,98,Active
99,Henry Kennan,Clinical Specialist,Human Resources,1/21/2024,47499.56,99,Terminated
100,Christabella Feeley,Nurse Practicioner,Accounting,3/2/2023,105455.04,100,Active
101,Shoshanna Spottswood,Data Coordinator,Accounting,2/14/2024,65545.49,101,Resigned
102,Enid Beddie,Budget/Accounting Analyst III,Training,8/15/2023,45330.4,102,On Leave
103,Ira Spellar,Human Resources Manager,Legal,1/28/2023,44585.19,103,Terminated
104,Eada Hitcham,Analyst Programmer,Business Development,6/12/2023,59955.17,104,Terminated
105,Pascale Broz,Professor,Training,4/17/2023,128190.54,105,On Leave
106,Finn Pownall,Accountant III,Legal,2/12/2023,134231.02,106,Active
107,Mia Ramalhete,Administrative Assistant I,Training,2/29/2024,103026.92,107,On Leave
108,Nevil Daveley,Legal Assistant,Support,6/17/2023,30388.84,108,On Leave
109,Geoff Ruilton,Project Manager,Legal,6/26/2023,98430.06,109,On Leave
110,Kennedy Pollen,Account Coordinator,Training,5/5/2023,87347.59,110,Resigned
111,Liv Millmore,Actuary,Services,12/9/2023,128792.74,111,Active
112,Arabelle Faulkes,Community Outreach Specialist,Marketing,4/21/2023,70795.3,112,Resigned
113,Flin Marte,Operator,Marketing,10/16/2023,41478.84,113,On Leave
114,Violante Boor,Analyst Programmer,Training,11/24/2023,50433.53,114,Terminated
115,Arney Valentelli,Mechanical Systems Engineer,Human Resources,8/8/2023,54813.29,115,On Leave
116,Eimile Sambidge,Human Resources Manager,Legal,10/17/2023,95561.37,116,Resigned
117,Brianna Jevons,Cost Accountant,Training,8/10/2023,49335.75,117,Active
118,Jarrad Orlton,Structural Engineer,Accounting,6/14/2023,115097.97,118,On Leave
119,Honor Tern,Senior Cost Accountant,Marketing,10/9/2023,123196.78,119,On Leave
120,Vernice Carik,Associate Professor,Accounting,2/24/2024,102331.03,120,On Leave
121,Joella Kemwall,Chemical Engineer,Services,1/6/2024,118540.7,121,Active
122,Darnall Ridde,Editor,Product Management,12/18/2023,106856.81,122,Resigned
123,Zia Hazelton,Junior Executive,Training,5/13/2023,136819.06,123,Resigned
124,Katheryn Peasgood,Administrative Assistant III,Product Management,10/24/2023,142387.85,124,Terminated
125,Maxie Braybrook,Occupational Therapist,Support,5/1/2023,100953.8,125,On Leave
126,Natalya Rouke,Editor,Services,8/15/2023,111608.53,126,Terminated
127,Torey Bratcher,Environmental Tech,Engineering,10/15/2023,114782.14,127,On Leave
128,Elihu Desorts,Professor,Training,12/17/2023,37253.07,128,Resigned
129,Giacinta Austen,Developer I,Sales,12/24/2023,58350.45,129,On Leave
130,Auroora Allington,Cost Accountant,Product Management,8/2/2023,142491.72,130,Active
131,Evaleen Waistell,Cost Accountant,Human Resources,4/19/2023,89391.17,131,On Leave
132,Jessie Kynforth,Senior Cost Accountant,Human Resources,11/25/2023,108276.58,132,Terminated
133,Friedrich Castiglio,Community Outreach Specialist,Business Development,1/21/2023,78736.78,133,Terminated
134,Goraud Haistwell,Research Associate,Legal,1/26/2024,49034.57,134,On Leave
135,Pamelina O'Shea,Civil Engineer,Accounting,5/3/2023,144327.07,135,Resigned
136,Sara Walsh,Legal Assistant,Research and Development,3/16/2023,74276.12,136,Resigned
137,Lottie Stonard,Web Developer II,Services,8/4/2023,123782.19,137,Terminated
138,Wolfie Faers,Senior Developer,Product Management,5/24/2023,128426.64,138,Resigned
139,Gunter Vogeller,Recruiter,Business Development,5/31/2023,90597.61,139,Active
140,Melisandra Townes,Analyst Programmer,Marketing,7/30/2023,94982.19,140,On Leave
141,Lydie Coplestone,Nurse,Services,6/30/2023,132510.3,141,On Leave
142,Renado Arbuckel,Administrative Assistant IV,Marketing,1/28/2023,91787.16,142,On Leave
143,Kellina Pottes,Actuary,Marketing,1/1/2024,110594.65,143,Resigned
144,Stacee Roderighi,Junior Executive,Training,8/24/2023,136208.17,144,Active
145,Trescha Cardinal,Health Coach III,Accounting,2/28/2024,34219.2,145,Resigned
146,Tadeo Venney,Nurse,Services,2/28/2023,144186.4,146,Terminated
147,Donetta Gilbane,Director of Sales,Services,7/21/2023,32078.07,147,Active
148,Aurel Pavolini,Junior Executive,Legal,7/26/2023,100051.76,148,On Leave
149,Chalmers Canty,VP Product Management,Legal,10/24/2023,111515.09,149,On Leave
150,Arabel Stollard,Occupational Therapist,Engineering,2/19/2023,51042.46,150,Resigned
151,Brandie Shaughnessy,Statistician II,Business Development,2/3/2023,79609.14,151,On Leave
152,Fulvia Raw,Legal Assistant,Support,12/16/2023,102904.16,152,On Leave
153,Mahalia Gaskill,Accounting Assistant IV,Support,3/4/2023,51841.25,153,On Leave
154,Asa Widdup,Director of Sales,Training,3/6/2023,48495.76,154,On Leave
155,Raffarty Olenikov,GIS Technical Architect,Marketing,6/13/2023,104659.18,155,Terminated
156,Francesca Pee,Environmental Tech,Legal,12/16/2023,114995.54,156,On Leave
157,Beckie Dominighi,Help Desk Operator,Legal,11/27/2023,53323.45,157,Terminated
158,Xymenes Luxton,Environmental Tech,Accounting,2/16/2024,131584.42,158,Active
159,Corissa Yerby,Senior Sales Associate,Human Resources,4/6/2023,70286.35,159,Terminated
160,Carver Gregorin,Account Representative IV,Research and Development,10/5/2023,127522.98,160,Terminated
161,Reynold Dowderswell,Clinical Specialist,Engineering,12/16/2023,38337.82,161,Active
162,Timmi Hebron,Software Consultant,Human Resources,6/17/2023,132546.92,162,On Leave
163,Agnesse Jarratt,Registered Nurse,Product Management,1/1/2023,133939.11,163,Resigned
164,Wayne Bernot,Office Assistant IV,Training,7/18/2023,85062.95,164,Terminated
165,Jessie Paireman,Pharmacist,Training,2/11/2024,96805.98,165,Resigned
166,Brande Ruzek,Recruiter,Training,12/22/2023,31325.03,166,Terminated
167,Cass Lismer,General Manager,Accounting,8/3/2023,81063.26,167,Resigned
168,Skippy Hache,Associate Professor,Accounting,2/1/2024,106559.34,168,Terminated
169,Aldwin Minall,Senior Developer,Product Management,8/11/2023,139165.75,169,Terminated
170,Edithe Sherr,Professor,Services,7/11/2023,136404.04,170,Resigned
171,Cullan Wynne,Pharmacist,Business Development,2/11/2024,95612.23,171,Resigned
172,Vivia Smees,Executive Secretary,Product Management,6/10/2023,97932.43,172,Resigned
173,Sophronia Scarbarrow,Help Desk Operator,Support,1/3/2024,67846.84,173,On Leave
174,Hobey Dymock,Quality Engineer,Services,11/18/2023,44103.56,174,Terminated
175,Steffane McGookin,Quality Control Specialist,Training,4/30/2023,116524.87,175,On Leave
176,Stanford Gerbl,Analyst Programmer,Marketing,12/14/2023,145502.3,176,Active
177,Skipp Grishkov,Web Developer III,Legal,9/16/2023,89426.67,177,Active
178,Suzie Thrustle,Nurse Practicioner,Training,3/12/2024,70999.85,178,Terminated
179,Christoph Ajsik,Accountant I,Business Development,5/29/2023,98373.76,179,Resigned
180,Koral Clapston,Engineer II,Training,2/16/2023,90137.66,180,On Leave
181,Agnesse De Ferraris,Mechanical Systems Engineer,Engineering,12/12/2023,46846.16,181,Active
182,Faythe Reichartz,Systems Administrator I,Training,3/24/2023,82127.75,182,Resigned
183,Lois Erley,Recruiting Manager,Engineering,9/17/2023,137739.55,183,Terminated
184,Justinian Thurlbeck,Professor,Sales,6/6/2023,122814.95,184,On Leave
185,Ebeneser Hamblett,Media Manager IV,Services,9/30/2023,104996.65,185,On Leave
186,Valida Ivell,Dental Hygienist,Services,10/28/2023,52646.56,186,Resigned
187,Winni Buard,Human Resources Manager,Sales,6/18/2023,137974.78,187,On Leave
188,Cinda Doughartie,Graphic Designer,Research and Development,7/1/2023,106918.35,188,Resigned
189,Dela Dickin,Office Assistant II,Human Resources,4/14/2023,118091.38,189,Resigned
190,Dannie Kubicki,Research Nurse,Product Management,12/30/2023,143024.82,190,On Leave
191,Yvette Pattle,Financial Analyst,Accounting,8/5/2023,40671.53,191,Terminated
192,Gaile Catton,Assistant Manager,Marketing,1/16/2024,79945.73,192,Resigned
193,Bren Pyatt,Financial Advisor,Marketing,11/7/2023,109432.93,193,Terminated
194,Lanie Peet,Web Designer IV,Research and Development,7/25/2023,97769.37,194,Terminated
195,Francklin Almond,Engineer I,Business Development,3/14/2024,100720.0,195,Active
196,Kore Roggeman,Assistant Professor,Legal,11/23/2023,55827.24,196,On Leave
197,Woodie Schenfisch,Physical Therapy Assistant,Legal,3/7/2023,52633.19,197,Terminated
198,Oliy Wandless,Database Administrator III,Human Resources,3/4/2024,38540.48,198,Resigned
199,Adrian McArt,Community Outreach Specialist,Legal,2/18/2023,69503.02,199,Resigned
200,Delcina Joint,Accounting Assistant IV,Accounting,9/17/2023,68580.84,200,On Leave
201,Haley Grinaugh,Payment Adjustment Coordinator,Business Development,1/1/2024,116836.34,201,Active
202,Web Barbey,Technical Writer,Accounting,4/14/2023,51375.83,202,Terminated
203,Cletis Cleeve,Financial Analyst,Marketing,10/20/2023,30713.65,203,Active
204,Lorens McGavin,Junior Executive,Sales,1/28/2023,71736.5,204,Terminated
205,Ximenez Tugman,Media Manager II,Business Development,6/1/2023,106683.19,205,Terminated
206,Terri-jo Saurin,Professor,Accounting,9/14/2023,129173.35,206,Active
207,Alon Duncan,Health Coach II,Human Resources,11/6/2023,141969.06,207,Active
208,Harry Demongeot,Pharmacist,Human Resources,5/21/2023,91993.08,208,Active
209,Ernaline Killich,Research Assistant IV,Legal,9/14/2023,46756.31,209,Active
210,Maisie Gentsch,Research Nurse,Business Development,3/14/2024,135011.89,210,Terminated
211,Roze Learmonth,Sales Associate,Research and Development,9/6/2023,37527.39,211,On Leave
212,Abra Murrison,Safety Technician I,Training,4/5/2023,139026.45,212,On Leave
213,Si Rabson,Budget/Accounting Analyst II,Business Development,10/12/2023,36187.27,213,Terminated
214,Georgi Guidi,Software Engineer I,Engineering,2/28/2023,56513.2,214,On Leave
215,Bondon Iles,Pharmacist,Accounting,1/2/2023,41565.12,215,Terminated
216,Brock Archley,Chemical Engineer,Research and Development,11/25/2023,98843.66,216,Active
217,Collin Hawe,Staff Scientist,Training,1/13/2023,98784.79,217,Resigned
218,Teena Gerretsen,Speech Pathologist,Support,1/30/2024,129990.02,218,On Leave
219,Bab Currum,Social Worker,Human Resources,8/28/2023,39696.01,219,Active
220,Monro World,General Manager,Training,5/24/2023,139335.76,220,Terminated
221,Katinka Shillum,Help Desk Operator,Business Development,6/18/2023,109907.01,221,Resigned
222,Sallyanne Jaggi,Project Manager,Training,12/26/2023,104554.59,222,On Leave
223,Andrew Laurenty,Quality Engineer,Sales,11/10/2023,143319.07,223,Terminated
224,Lelia Skuse,Mechanical Systems Engineer,Support,10/18/2023,42885.35,224,Active
225,Burtie Whittingham,Analog Circuit Design manager,Support,2/27/2023,36594.13,225,On Leave
226,Vincents Laugheran,Director of Sales,Legal,9/21/2023,109721.65,226,On Leave
227,Moore Filde,Quality Control Specialist,Services,9/27/2023,132565.34,227,Active
228,Kennett Joreau,Operator,Engineering,1/16/2023,40276.38,228,Active
229,Napoleon Malafe,Tax Accountant,Human Resources,1/20/2023,89270.92,229,On Leave
230,Bastien Coare,Technical Writer,Human Resources,5/22/2023,62611.55,230,Resigned
231,Hubert MacConchie,Human Resources Manager,Human Resources,8/12/2023,123391.1,231,Active
232,Cordell Manifould,Nurse,Sales,2/10/2023,31011.38,232,Terminated
233,Dylan Tremayne,Assistant Manager,Support,2/5/2024,52174.55,233,Active
234,Dimitry Wither,Pharmacist,Product Management,9/25/2023,142295.37,234,Terminated
235,Sherrie Mabbett,Analyst Programmer,Marketing,7/19/2023,80055.72,235,Terminated
236,Kikelia Fairholm,Account Executive,Engineering,12/22/2023,56330.84,236,Active
237,Constantin Kingdon,Analog Circuit Design manager,Sales,11/6/2023,47138.88,237,On Leave
238,Carter MacMeanma,Executive Secretary,Engineering,8/17/2023,135343.55,238,Active
239,Nels Romaine,Physical Therapy Assistant,Marketing,5/29/2023,102874.88,239,Active
240,Erhart Angric,Budget/Accounting Analyst I,Business Development,2/21/2024,77805.7,240,Terminated
241,Tobiah Klug,Financial Advisor,Business Development,1/18/2024,127802.58,241,On Leave
242,Bil Praundl,Senior Developer,Marketing,5/27/2023,133278.25,242,Active
243,Vincent Wackley,Geological Engineer,Research and Development,2/14/2024,147713.21,243,Active
244,Enrika Demer,Nuclear Power Engineer,Accounting,2/28/2024,87893.73,244,On Leave
245,Merry Longmate,Speech Pathologist,Marketing,12/12/2023,121541.85,245,Active
246,Flossie McElwee,Information Systems Manager,Support,8/24/2023,145691.34,246,Resigned
247,Leif Siuda,Budget/Accounting Analyst II,Research and Development,7/2/2023,101723.02,247,Active
248,Farica Getch,Payment Adjustment Coordinator,Engineering,6/4/2023,92999.86,248,Terminated
249,Melissa Beagrie,Chief Design Engineer,Accounting,4/6/2023,61503.42,249,Terminated
250,Laverna Qusklay,Senior Sales Associate,Marketing,6/12/2023,111541.19,250,On Leave
251,Burnard Friedman,Librarian,Engineering,1/21/2023,123961.08,251,Resigned
252,Hussein Atlay,Information Systems Manager,Training,3/3/2024,129307.67,252,Terminated
253,Anett Trinder,Quality Control Specialist,Services,10/18/2023,118507.75,253,Terminated
254,Pier Momery,Cost Accountant,Research and Development,8/13/2023,46192.76,254,Active
255,Ryun Levene,Environmental Specialist,Sales,12/1/2023,122466.9,255,Active
256,Elmira Jovovic,Help Desk Technician,Services,11/14/2023,61987.85,256,Terminated
257,Clemence Masey,Information Systems Manager,Business Development,4/18/2023,69558.02,257,Terminated
258,Arnaldo Bonde,Actuary,Human Resources,1/25/2024,137466.71,258,Active
259,Eilis Crosbie,Programmer II,Accounting,1/30/2023,54497.46,259,On Leave
260,Roddie Ferriby,Staff Accountant I,Legal,12/18/2023,62105.59,260,On Leave
261,Reg Cadwell,Structural Engineer,Human Resources,8/27/2023,148202.65,261,Terminated
262,Inna Loddon,Nuclear Power Engineer,Training,8/18/2023,62107.11,262,Terminated
263,Jacinta Binnion,Geologist III,Training,6/27/2023,100659.33,263,Resigned
264,Jannel Brittle,Librarian,Research and Development,4/12/2023,138935.29,264,On Leave
265,Teri Serjeantson,Assistant Manager,Sales,8/21/2023,87017.96,265,On Leave
266,Harwilll Barde,Marketing Assistant,Business Development,7/21/2023,37158.17,266,Resigned
267,Lindsay Fewtrell,Automation Specialist I,Support,9/12/2023,116840.85,267,Terminated
268,Thelma Duester,Help Desk Operator,Sales,3/10/2023,125686.88,268,On Leave
269,Jo-ann Olliffe,Programmer Analyst IV,Legal,12/8/2023,34363.92,269,Terminated
270,Minetta Paiton,Cost Accountant,Marketing,6/15/2023,64745.02,270,Terminated
271,Tabina Schuck,Cost Accountant,Services,5/21/2023,33655.37,271,Resigned
272,Ole Woolf,Recruiting Manager,Human Resources,1/12/2024,76601.89,272,Active
273,Massimiliano Pickles,Speech Pathologist,Human Resources,2/7/2024,142163.75,273,On Leave
274,Frank Walkey,Professor,Research and Development,2/7/2024,59400.8,274,Resigned
275,Coral Fitzsymonds,Chief Design Engineer,Marketing,2/14/2023,100449.9,275,Terminated
276,Melisenda Bright,VP Marketing,Human Resources,5/22/2023,72104.3,276,Resigned
277,Peggy Gatrill,Tax Accountant,Engineering,8/16/2023,131577.84,277,On Leave
278,Inge Petroulis,Systems Administrator III,Research and Development,12/20/2023,63356.53,278,On Leave
279,Mill Cicetti,Developer I,Accounting,12/24/2023,102948.56,279,Resigned
280,Christoforo Dorsett,VP Product Management,Training,12/30/2023,88608.42,280,On Leave
281,Heriberto Wickwarth,Actuary,Services,2/5/2023,130678.71,281,Resigned
282,Maurits Ive,Food Chemist,Product Management,4/16/2023,46602.3,282,Terminated
283,Gwenora Eaden,Business Systems Development Analyst,Legal,8/5/2023,106967.38,283,Terminated
284,Binnie Bailes,VP Quality Control,Services,12/14/2023,111552.29,284,Terminated
285,Piotr Freeburn,Geologist III,Business Development,9/25/2023,89144.04,285,On Leave
286,Angelico Enderson,Administrative Assistant IV,Services,10/24/2023,147588.51,286,On Leave
287,Janith Dewer,Legal Assistant,Support,2/27/2024,30563.01,287,Active
288,Gonzalo Rablin,VP Product Management,Research and Development,11/10/2023,125170.55,288,Active
289,Caroline Merrifield,Safety Technician I,Sales,8/4/2023,91363.54,289,Resigned
290,Allyce Halbard,Financial Analyst,Services,12/30/2023,61155.56,290,On Leave
291,Lotty Hartrick,Structural Engineer,Research and Development,6/21/2023,70071.46,291,Resigned
292,Kaitlyn Boucher,Analyst Programmer,Product Management,2/26/2024,70547.3,292,Terminated
293,Gerri Bunny,Senior Quality Engineer,Training,6/20/2023,104247.9,293,On Leave
294,Arnuad Lardiner,Cost Accountant,Engineering,11/26/2023,108365.04,294,Terminated
295,Alistair Skehan,Programmer III,Sales,6/17/2023,146722.66,295,On Leave
296,Winston Rains,Geological Engineer,Legal,10/13/2023,70783.31,296,Terminated
297,Dawn Maxwaile,Administrative Assistant III,Engineering,2/17/2023,75819.23,297,On Leave
298,Vivian Bogies,Software Engineer II,Product Management,6/11/2023,133192.15,298,On Leave
299,Humberto Matys,Structural Engineer,Support,1/2/2023,114035.31,299,On Leave
300,Alfi Tear,Systems Administrator III,Product Management,5/13/2023,72190.79,300,Terminated
301,Merrill Flegg,Structural Engineer,Product Management,9/9/2023,73293.12,301,Resigned
302,Beitris Naisey,Nurse,Product Management,9/30/2023,96531.78,302,Resigned
303,Joe Mapples,Biostatistician I,Services,8/15/2023,122566.26,303,On Leave
304,Reynold Warrell,Sales Associate,Sales,9/13/2023,55244.0,304,On Leave
305,Daloris Roberson,Safety Technician I,Research and Development,10/26/2023,50924.77,305,Terminated
306,Lorianna Dimitrie,VP Sales,Support,3/30/2023,63058.97,306,Resigned
307,Barbra O'Toole,Business Systems Development Analyst,Product Management,1/19/2024,132457.46,307,Resigned
308,Ceil Garnsworth,Research Associate,Research and Development,3/7/2024,134888.64,308,On Leave
309,Patti Rembrandt,Business Systems Development Analyst,Training,6/1/2023,53645.55,309,Terminated
310,Sholom Breakwell,Director of Sales,Engineering,1/16/2023,121350.07,310,On Leave
311,Bonnibelle Pinkett,Staff Scientist,Research and Development,2/18/2024,145628.97,311,Terminated
312,Merry Ravilious,Business Systems Development Analyst,Sales,4/23/2023,127958.29,312,Terminated
313,Arel Longhurst,Senior Editor,Accounting,4/18/2023,71567.17,313,Terminated
314,Charin Tixier,Accounting Assistant II,Human Resources,8/27/2023,34171.37,314,Resigned
315,Zelig Meachan,Staff Accountant III,Marketing,7/3/2023,143334.53,315,Active
316,Ardith Waterhous,GIS Technical Architect,Services,2/1/2023,43187.47,316,Terminated
317,Orson Blackesland,Biostatistician I,Marketing,12/11/2023,53151.82,317,On Leave
318,Agace Goulbourne,Software Test Engineer III,Business Development,6/14/2023,74724.29,318,Terminated
319,Conroy Sayse,Assistant Manager,Services,3/9/2023,91167.4,319,Active
320,Nessie Warriner,Structural Analysis Engineer,Legal,11/22/2023,100317.98,320,Active
321,Brett Minney,VP Sales,Services,6/15/2023,145445.17,321,Resigned
322,Vivianna Adkin,Food Chemist,Sales,4/21/2023,132569.8,322,Terminated
323,Obadiah Hrishanok,Software Test Engineer III,Business Development,10/3/2023,47880.27,323,Terminated
324,Baily Brimblecombe,Director of Sales,Legal,3/16/2023,120851.68,324,Terminated
325,Kacey Harcourt,Nurse Practicioner,Research and Development,3/8/2023,66883.99,325,Resigned
326,Drew Budgen,Information Systems Manager,Support,12/4/2023,145476.95,326,Resigned
327,Amil Zanelli,Director of Sales,Human Resources,12/4/2023,132731.33,327,Resigned
