customer_id,car_make,car_model,lease_start_date,lease_end_date,monthly_payment,insurance_provider,driver_license_number
90,Ford,Thunderbird,6/22/2023,12/17/2025,555.2,Geico,123456789
91,Maserati,GranTurismo,5/20/2023,12/28/2025,690.49,Progressive,987654321
92,Dodge,Ram 1500 Club,11/20/2023,8/31/2025,631.77,State Farm,987654321
93,Mazda,RX-8,8/14/2023,9/14/2025,773.48,Geico,555555555
94,Audi,100,8/21/2023,12/17/2025,559.39,Geico,987654321
95,BMW,3 Series,6/8/2023,6/6/2025,543.97,Geico,123456789
96,Mitsubishi,Chariot,5/24/2023,5/18/2025,996.87,State Farm,555555555
97,Ford,Bronco,9/20/2023,12/5/2025,851.47,Progressive,987654321
98,Audi,90,6/22/2023,2/17/2025,272.02,Progressive,555555555
99,Scion,xA,11/7/2023,12/4/2025,930.59,Geico,987654321
100,Chevrolet,Suburban 2500,3/19/2023,3/8/2025,234.88,Progressive,123456789
101,Chrysler,Town & Country,10/15/2023,6/3/2025,366.07,State Farm,555555555
102,Acura,RL,7/21/2023,3/28/2025,796.98,State Farm,987654321
103,Nissan,350Z,3/21/2023,1/25/2025,349.86,Geico,123456789
104,Chevrolet,Corvette,10/16/2023,5/7/2025,288.63,Progressive,123456789
105,Volkswagen,Tiguan,6/20/2023,7/9/2025,928.95,State Farm,987654321
106,Toyota,Avalon,6/28/2023,10/9/2025,904.88,Progressive,123456789
107,Chevrolet,Camaro,12/30/2023,4/26/2025,127.65,Geico,555555555
108,Audi,A3,5/29/2023,11/7/2025,806.13,Geico,987654321
109,Audi,5000CS,9/24/2023,6/27/2025,938.41,Progressive,987654321
110,Infiniti,Q,8/5/2023,9/30/2025,320.74,Progressive,123456789
111,Saab,9-5,8/28/2023,9/26/2025,367.26,Progressive,555555555
112,Isuzu,i-Series,8/25/2023,11/13/2025,434.9,State Farm,987654321
113,Saab,900,6/21/2023,11/19/2025,468.38,Progressive,555555555
114,Infiniti,G,5/27/2023,8/19/2025,356.57,Geico,987654321
115,Hyundai,Sonata,3/26/2023,3/21/2025,649.83,Geico,123456789
116,Mitsubishi,Starion,8/15/2023,5/3/2025,461.19,Geico,555555555
117,Volvo,S40,3/8/2023,6/4/2025,633.17,State Farm,555555555
118,Plymouth,Grand Voyager,3/17/2023,5/24/2025,308.14,Progressive,987654321
119,Mitsubishi,RVR,5/29/2023,8/28/2025,977.26,Geico,987654321
120,Kia,Amanti,8/14/2023,6/19/2025,377.08,Progressive,555555555
121,Lexus,GS,8/21/2023,9/29/2025,985.37,State Farm,123456789
122,Plymouth,Acclaim,12/14/2023,6/2/2025,492.06,Progressive,555555555
123,Mazda,Miata MX-5,10/23/2023,10/10/2025,668.95,Progressive,555555555
124,Volkswagen,Phaeton,2/14/2023,8/10/2025,175.63,State Farm,555555555
125,Chevrolet,Express 3500,3/13/2023,12/2/2025,920.16,Progressive,555555555
126,Chevrolet,Tracker,5/28/2023,9/5/2025,958.19,Geico,555555555
127,Acura,TL,5/6/2023,9/4/2025,243.29,State Farm,987654321
128,Pontiac,Sunfire,9/23/2023,3/21/2025,365.35,Progressive,555555555
129,Ford,Freestyle,4/28/2023,9/21/2025,814.38,Geico,987654321
130,GMC,Suburban 1500,6/10/2023,9/15/2025,396.8,State Farm,123456789
131,Toyota,Tacoma,1/2/2023,5/27/2025,390.24,Progressive,123456789
132,Ford,Thunderbird,4/1/2023,9/29/2025,825.68,State Farm,555555555
133,GMC,Sonoma,11/7/2023,1/8/2025,165.28,State Farm,987654321
134,Mercury,Mountaineer,8/15/2023,7/20/2025,760.93,Geico,555555555
135,Ford,Contour,10/15/2023,10/7/2025,461.91,Progressive,123456789
136,Oldsmobile,Cutlass Cruiser,4/26/2023,7/16/2025,853.64,State Farm,987654321
137,Chevrolet,Camaro,4/8/2023,6/6/2025,633.85,State Farm,123456789
138,Ford,Thunderbird,7/19/2023,12/7/2025,447.91,State Farm,987654321
139,Infiniti,QX,5/27/2023,9/3/2025,384.86,State Farm,123456789
140,Lexus,IS,9/15/2023,5/30/2025,682.91,Geico,555555555
141,Chevrolet,Cavalier,9/22/2023,1/24/2025,923.01,State Farm,555555555
142,Dodge,Charger,12/19/2023,3/1/2025,819.25,Geico,123456789
143,Ford,Econoline E250,5/30/2023,7/22/2025,151.69,State Farm,123456789
144,Suzuki,Daewoo Lacetti,4/13/2023,12/12/2025,584.83,State Farm,123456789
145,Mitsubishi,Cordia,7/27/2023,8/1/2025,264.14,Progressive,555555555
146,Ford,Aerostar,1/20/2023,12/29/2025,873.28,Geico,555555555
147,Land Rover,Range Rover,3/9/2023,10/4/2025,681.34,Progressive,123456789
148,Lexus,LS Hybrid,3/30/2023,10/15/2025,894.93,State Farm,123456789
149,Land Rover,Freelander,7/21/2023,12/23/2025,325.21,Progressive,555555555
150,Toyota,Highlander,8/20/2023,8/18/2025,452.63,Geico,123456789
151,Land Rover,Discovery,9/15/2023,7/21/2025,533.73,Progressive,555555555
152,GMC,Yukon,5/26/2023,4/20/2025,826.81,Geico,987654321
153,Dodge,Caravan,9/6/2023,2/26/2025,842.03,Geico,987654321
154,Honda,Fit,3/3/2023,10/31/2025,654.57,State Farm,555555555
155,Lincoln,Aviator,12/24/2023,10/27/2025,140.07,Geico,123456789
156,Isuzu,Ascender,6/3/2023,4/21/2025,902.88,State Farm,123456789
157,Pontiac,G5,5/31/2023,10/27/2025,575.84,Progressive,123456789
158,Saturn,Sky,8/3/2023,7/24/2025,549.92,Geico,555555555
159,Pontiac,Grand Am,3/20/2023,2/24/2025,534.92,Progressive,987654321
160,BMW,5 Series,8/17/2023,7/10/2025,457.83,State Farm,123456789
161,Mercedes-Benz,S-Class,10/30/2023,9/28/2025,254.0,Geico,123456789
162,Nissan,Pathfinder,8/30/2023,7/24/2025,631.63,State Farm,987654321
163,GMC,3500,5/4/2023,8/22/2025,150.31,Progressive,987654321
164,Ford,E150,10/24/2023,7/22/2025,197.4,Progressive,555555555
165,Aston Martin,Virage,4/20/2023,7/9/2025,923.51,State Farm,123456789
166,Cadillac,Catera,1/2/2023,4/17/2025,427.5,Geico,123456789
167,Chevrolet,Silverado 1500,10/21/2023,6/3/2025,109.4,Progressive,123456789
168,Mazda,MX-5,8/6/2023,6/1/2025,636.29,Geico,123456789
169,Ford,F-350 Super Duty,8/27/2023,6/9/2025,220.92,Progressive,987654321
170,Volkswagen,Golf,6/24/2023,9/11/2025,785.92,Progressive,555555555
171,Infiniti,G25,8/15/2023,7/15/2025,761.37,Geico,987654321
172,Mitsubishi,Galant,2/27/2023,8/2/2025,822.16,Geico,123456789
173,Buick,Lucerne,10/6/2023,8/9/2025,694.82,Geico,123456789
174,Pontiac,Grand Prix,3/4/2023,10/1/2025,483.95,State Farm,555555555
175,Audi,RS 6,1/6/2023,4/8/2025,148.59,Geico,123456789
176,Volvo,S80,8/14/2023,1/30/2025,577.64,Geico,555555555
177,Acura,TSX,2/24/2023,1/21/2025,926.64,State Farm,987654321
178,GMC,Yukon XL 2500,7/23/2023,9/29/2025,951.96,Geico,987654321
179,Acura,RL,9/20/2023,9/14/2025,323.15,Progressive,123456789
180,Mazda,RX-8,10/9/2023,5/4/2025,582.46,Progressive,555555555
181,Nissan,370Z,6/22/2023,7/2/2025,846.47,State Farm,555555555
182,Hyundai,Veracruz,6/17/2023,7/11/2025,646.82,State Farm,987654321
183,Ford,Transit Connect,9/22/2023,1/12/2025,236.13,Progressive,555555555
184,Saturn,L-Series,7/14/2023,12/8/2025,664.34,Geico,987654321
185,Ford,Edge,1/6/2023,8/17/2025,258.61,Progressive,987654321
186,Chevrolet,Corvette,3/7/2023,4/19/2025,632.84,State Farm,123456789
187,Lotus,Exige,2/9/2023,2/21/2025,594.12,State Farm,555555555
188,Lexus,LX,6/5/2023,1/22/2025,901.05,Geico,987654321
189,Toyota,Sequoia,3/23/2023,10/14/2025,583.9,Progressive,987654321
190,Chevrolet,Impala,11/26/2023,6/16/2025,775.61,Progressive,987654321
191,Audi,A6,7/30/2023,8/20/2025,239.34,Progressive,987654321
192,Mazda,Navajo,9/21/2023,4/12/2025,606.19,Progressive,555555555
193,Tesla,Roadster,1/26/2023,11/30/2025,788.0,Progressive,987654321
194,Lexus,LS,3/30/2023,2/14/2025,134.71,State Farm,555555555
195,Toyota,Prius,11/8/2023,4/19/2025,884.76,State Farm,987654321
196,BMW,Alpina B7,12/28/2023,4/30/2025,973.52,Progressive,555555555
197,Jeep,Liberty,4/7/2023,5/5/2025,513.41,Progressive,123456789
198,Mazda,Protege,5/19/2023,12/14/2025,884.7,Geico,123456789
199,Ford,E250,12/13/2023,6/9/2025,305.14,Geico,555555555
200,Rolls-Royce,Phantom,2/6/2023,3/4/2025,866.35,State Farm,987654321
201,Fiat,500,5/4/2023,5/20/2025,545.75,State Farm,987654321
202,Chevrolet,Prizm,11/15/2023,12/2/2025,909.27,Progressive,987654321
203,Land Rover,Range Rover Sport,10/9/2023,10/14/2025,388.87,Progressive,555555555
204,Porsche,928,6/30/2023,1/16/2025,992.61,Geico,987654321
205,Chrysler,200,3/8/2023,4/18/2025,502.42,State Farm,123456789
206,Honda,CR-V,12/3/2023,1/8/2025,968.26,State Farm,987654321
207,Mercury,Mountaineer,1/27/2023,9/23/2025,800.61,State Farm,123456789
208,Geo,Metro,12/19/2023,12/1/2025,423.93,Geico,123456789
209,Buick,Estate,7/28/2023,6/8/2025,661.6,Geico,987654321
210,Oldsmobile,Bravada,1/13/2023,9/6/2025,552.09,State Farm,123456789
211,Dodge,Caravan,1/27/2023,10/11/2025,554.68,Geico,555555555
212,Chrysler,Fifth Ave,7/27/2023,3/1/2025,321.01,Geico,987654321
213,Pontiac,Grand Am,9/20/2023,3/4/2025,856.2,State Farm,987654321
214,Mazda,929,5/23/2023,11/17/2025,469.53,State Farm,987654321
215,Toyota,Tacoma Xtra,4/9/2023,6/5/2025,609.7,State Farm,987654321
216,Oldsmobile,Toronado,7/15/2023,3/13/2025,676.35,Progressive,987654321
217,Chrysler,300M,9/9/2023,12/13/2025,573.12,State Farm,555555555
218,Chevrolet,Cavalier,8/24/2023,3/29/2025,269.84,Geico,123456789
219,Volkswagen,Jetta,3/18/2023,3/13/2025,996.38,State Farm,987654321
220,Honda,Accord,7/29/2023,1/30/2025,873.04,Progressive,555555555
221,Suzuki,Forenza,3/23/2023,5/27/2025,329.62,Progressive,555555555
222,Pontiac,Firebird,4/21/2023,8/1/2025,175.69,State Farm,123456789
223,Toyota,Solara,7/7/2023,9/11/2025,183.0,Progressive,555555555
224,GMC,Acadia,6/29/2023,10/21/2025,189.79,Geico,123456789
225,Pontiac,Bonneville,3/18/2023,4/25/2025,245.48,Progressive,987654321
226,Lincoln,Navigator,8/15/2023,10/24/2025,554.07,Progressive,987654321
227,GMC,Yukon,10/16/2023,6/23/2025,399.62,Geico,555555555
228,Toyota,Camry,12/10/2023,3/9/2025,809.82,State Farm,555555555
229,Toyota,Cressida,2/14/2023,8/31/2025,277.0,Geico,987654321
230,Pontiac,Montana,2/25/2023,10/24/2025,682.96,Geico,555555555
231,Volkswagen,GTI,9/9/2023,3/21/2025,433.22,Progressive,555555555
232,Chevrolet,Suburban 2500,1/26/2023,2/14/2025,473.68,Geico,987654321
233,Chevrolet,Express,7/26/2023,7/29/2025,542.35,State Farm,987654321
234,Audi,A3,4/11/2023,3/25/2025,561.71,Geico,123456789
235,Chrysler,Voyager,7/3/2023,7/21/2025,646.94,Geico,555555555
236,Ford,Focus,5/5/2023,11/3/2025,900.56,Progressive,987654321
237,Jeep,Grand Cherokee,11/13/2023,4/1/2025,255.07,State Farm,555555555
238,Nissan,Pathfinder,4/15/2023,12/29/2025,594.92,Progressive,123456789
239,Honda,Odyssey,1/16/2023,4/18/2025,404.39,Progressive,987654321
240,Ford,Crown Victoria,8/8/2023,9/26/2025,525.09,State Farm,555555555
241,Cadillac,Escalade EXT,6/7/2023,3/30/2025,854.1,State Farm,123456789
242,Chevrolet,Suburban,1/5/2023,12/4/2025,999.06,State Farm,555555555
243,Dodge,Caravan,10/28/2023,3/7/2025,335.69,Progressive,987654321
244,Acura,NSX,12/6/2023,7/17/2025,965.46,State Farm,123456789
245,Chevrolet,Corvette,7/17/2023,3/12/2025,455.24,Progressive,555555555
246,Mercedes-Benz,E-Class,9/10/2023,2/9/2025,307.6,State Farm,987654321
247,Ford,Courier,11/27/2023,11/5/2025,946.73,Geico,123456789
248,GMC,Savana,9/13/2023,11/4/2025,704.4,Geico,987654321
249,Dodge,Ram Van 3500,2/8/2023,8/20/2025,378.85,Geico,987654321
250,Mercury,Tracer,8/29/2023,4/15/2025,458.06,Progressive,123456789
251,Land Rover,Range Rover,6/23/2023,11/27/2025,560.62,Progressive,555555555
252,Suzuki,Aerio,2/27/2023,7/12/2025,362.31,State Farm,987654321
253,Chevrolet,Avalanche,8/12/2023,9/6/2025,134.34,Progressive,987654321
254,Ford,Club Wagon,6/9/2023,7/21/2025,893.4,Geico,555555555
255,Jaguar,XJ Series,5/20/2023,4/23/2025,658.8,State Farm,123456789
256,Kia,Sephia,10/31/2023,7/18/2025,414.42,Progressive,555555555
257,Mercury,Marquis,1/15/2023,12/3/2025,964.33,State Farm,555555555
258,Toyota,Corolla,5/20/2023,6/13/2025,712.43,State Farm,123456789
259,Chrysler,Town & Country,2/15/2023,3/31/2025,625.51,Geico,987654321
260,Chevrolet,Lumina,6/12/2023,6/9/2025,237.42,Geico,123456789
261,Ford,E-350 Super Duty Van,9/23/2023,9/11/2025,206.22,Geico,555555555
262,Toyota,Camry,9/28/2023,10/10/2025,227.07,Progressive,987654321
263,Mercedes-Benz,S-Class,8/19/2023,10/31/2025,623.88,Geico,123456789
264,Mazda,929,12/26/2023,5/16/2025,377.35,State Farm,555555555
265,Jaguar,X-Type,6/7/2023,11/24/2025,377.95,Progressive,987654321
266,Dodge,Dakota Club,12/19/2023,2/5/2025,494.99,Progressive,123456789
267,Mazda,MX-3,9/4/2023,11/9/2025,672.1,Geico,555555555
268,Chrysler,300M,12/23/2023,2/16/2025,314.26,Geico,555555555
269,GMC,1500 Club Coupe,3/14/2023,9/20/2025,305.81,State Farm,123456789
270,Plymouth,Laser,10/31/2023,12/8/2025,862.74,Geico,987654321
271,Chevrolet,Corvette,3/26/2023,5/8/2025,506.95,Geico,123456789
272,Chrysler,Town & Country,1/31/2023,4/19/2025,664.54,Geico,555555555
273,Ford,Probe,8/20/2023,10/12/2025,397.03,State Farm,123456789
274,Buick,Riviera,11/15/2023,4/12/2025,871.09,Progressive,123456789
275,Dodge,Viper,8/17/2023,2/6/2025,520.88,Geico,987654321
276,Mazda,Mazdaspeed6,9/26/2023,11/11/2025,462.29,Geico,555555555
277,Lexus,IS,6/6/2023,4/4/2025,126.19,Geico,123456789
278,Chevrolet,Camaro,8/24/2023,11/11/2025,530.77,State Farm,123456789
279,Subaru,Leone,11/29/2023,1/6/2025,773.33,Progressive,123456789
280,Ford,Courier,9/4/2023,9/21/2025,144.93,State Farm,555555555
281,Hyundai,Elantra,4/24/2023,8/15/2025,425.06,State Farm,555555555
282,Mazda,MX-3,12/30/2023,5/20/2025,729.68,State Farm,555555555
283,Toyota,Paseo,10/4/2023,6/27/2025,843.75,State Farm,987654321
284,BMW,7 Series,8/7/2023,10/4/2025,775.37,State Farm,987654321
285,Mercedes-Benz,M-Class,4/21/2023,11/5/2025,321.22,Geico,987654321
286,Cadillac,Escalade EXT,3/26/2023,3/24/2025,529.7,State Farm,987654321
287,Volkswagen,Eurovan,2/16/2023,8/23/2025,126.88,Progressive,123456789
288,Infiniti,G,2/24/2023,5/20/2025,382.6,Progressive,987654321
289,Dodge,D250 Club,8/6/2023,6/7/2025,965.97,Geico,987654321
290,Lincoln,Navigator,12/10/2023,11/1/2025,600.29,State Farm,123456789
291,Toyota,Camry,2/10/2023,8/15/2025,826.41,Geico,123456789
292,Mitsubishi,GTO,10/29/2023,6/30/2025,691.98,State Farm,123456789
293,Acura,RL,10/21/2023,5/21/2025,425.72,Geico,555555555
294,Buick,Regal,9/11/2023,7/15/2025,752.77,Geico,555555555
295,Lexus,RX,11/27/2023,8/22/2025,929.84,Geico,987654321
296,BMW,530,3/10/2023,2/8/2025,585.68,Progressive,987654321
297,Volkswagen,Jetta,8/8/2023,10/23/2025,946.02,State Farm,555555555
298,Audi,Coupe Quattro,7/13/2023,7/2/2025,657.09,Progressive,555555555
299,Maybach,62,8/10/2023,7/31/2025,970.64,Geico,555555555
300,Toyota,Land Cruiser,6/15/2023,10/12/2025,980.95,Geico,555555555
301,Hyundai,Santa Fe,9/22/2023,7/25/2025,127.16,Geico,123456789
302,Ford,F-350 Super Duty,2/19/2023,11/14/2025,867.74,Geico,987654321
303,Audi,RS4,4/23/2023,2/25/2025,820.63,State Farm,123456789
304,Volvo,S80,8/23/2023,6/30/2025,551.76,Geico,555555555
305,Mitsubishi,Galant,9/9/2023,12/1/2025,462.89,Progressive,555555555
306,Scion,tC,11/20/2023,11/28/2025,964.09,Geico,987654321
307,Chevrolet,Silverado 2500,11/19/2023,10/26/2025,833.55,Geico,123456789
308,Ford,Festiva,11/20/2023,2/28/2025,345.99,State Farm,987654321
309,Toyota,Tundra,6/1/2023,3/12/2025,675.87,Geico,987654321
310,Ford,Ranger,10/1/2023,7/24/2025,883.45,Progressive,987654321
311,Saturn,VUE,11/13/2023,12/11/2025,452.68,Geico,555555555
312,Pontiac,Grand Am,9/11/2023,10/19/2025,258.64,Progressive,555555555
313,Ford,Taurus,7/12/2023,7/6/2025,232.76,Geico,987654321
314,Ford,E150,4/19/2023,9/13/2025,443.29,Progressive,123456789
315,Toyota,Highlander,1/3/2023,8/19/2025,687.4,Geico,123456789
316,Mitsubishi,Starion,11/23/2023,6/6/2025,161.17,Geico,987654321
317,Mitsubishi,Galant,6/17/2023,8/21/2025,685.42,Progressive,987654321
318,Toyota,Sequoia,9/19/2023,3/20/2025,550.75,Progressive,987654321
319,Chevrolet,Sportvan G10,1/8/2023,1/11/2025,980.27,Progressive,123456789
320,Dodge,Ram 3500,7/13/2023,6/1/2025,866.56,Geico,555555555
321,Kia,Sportage,11/2/2023,7/11/2025,289.06,Progressive,123456789
322,Chevrolet,Blazer,6/2/2023,8/21/2025,903.89,Progressive,555555555
323,Acura,RDX,10/14/2023,7/13/2025,129.58,State Farm,123456789
324,Chevrolet,Beretta,3/10/2023,6/10/2025,843.28,Geico,123456789
325,Saab,900,3/26/2023,12/3/2025,508.87,State Farm,123456789
326,Ford,Explorer,2/25/2023,8/29/2025,505.56,Geico,987654321
327,Ford,Ranger,9/7/2023,5/24/2025,178.09,Geico,555555555
328,GMC,Rally Wagon G2500,1/28/2023,4/12/2025,498.76,Progressive,555555555
329,Dodge,Charger,4/2/2023,11/8/2025,696.87,Progressive,123456789
330,Mercedes-Benz,G-Class,3/14/2023,5/29/2025,196.68,State Farm,555555555
331,Pontiac,GTO,7/14/2023,12/30/2025,254.21,State Farm,987654321
332,Ford,Edge,9/9/2023,10/26/2025,294.7,State Farm,987654321
333,Hyundai,Equus,11/7/2023,3/18/2025,422.97,State Farm,123456789
334,Buick,Skyhawk,5/17/2023,11/13/2025,837.67,Progressive,123456789
335,Volvo,S80,12/3/2023,7/23/2025,131.34,Geico,555555555
336,Acura,NSX,4/15/2023,12/25/2025,446.71,State Farm,987654321
337,Chrysler,Town & Country,9/4/2023,1/14/2025,782.22,Geico,987654321
338,Dodge,Neon,10/13/2023,4/11/2025,759.89,Progressive,123456789
339,Buick,LeSabre,1/29/2023,7/12/2025,956.89,Progressive,123456789
340,Ford,F250,6/12/2023,5/10/2025,499.09,State Farm,987654321
341,Chevrolet,Silverado 1500,7/6/2023,5/6/2025,331.83,State Farm,987654321
342,Mazda,Familia,6/24/2023,6/13/2025,498.95,Geico,555555555
343,Lexus,IS-F,8/14/2023,5/22/2025,805.52,State Farm,555555555
344,Buick,Century,12/4/2023,5/30/2025,258.52,Geico,555555555
345,Plymouth,Voyager,7/31/2023,8/10/2025,344.21,Progressive,123456789
346,Ford,Bronco II,4/7/2023,11/30/2025,876.51,Progressive,555555555
347,Chrysler,Concorde,10/10/2023,7/5/2025,214.62,State Farm,987654321
348,Acura,ZDX,11/16/2023,4/10/2025,949.53,State Farm,123456789
349,Kia,Optima,10/23/2023,1/16/2025,240.09,Geico,987654321
350,GMC,1500 Club Coupe,5/7/2023,7/17/2025,903.45,Progressive,555555555
351,Subaru,Legacy,11/4/2023,6/5/2025,187.21,Progressive,987654321
352,Cadillac,Seville,4/23/2023,7/13/2025,781.89,Progressive,123456789
353,Ford,E150,10/21/2023,7/3/2025,916.44,Geico,987654321
354,Mercury,Cougar,4/27/2023,11/12/2025,527.13,Geico,987654321
